player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,base,Amount
637,Devon Conway,Chennai Super Kings,2022,1,1,0,0,1,0,1,1
0,Dewald Brevis,Mumbai Indians,2022,1,1,0,0,0,1,0.2,3
2812,Dhruv Jurel,Rajasthan Royals,2022,0,0,0,1,0,0,0.2,0.2
200,Digvijay Deshmukh,Mumbai Indians,2020,0,1,1,0,0,0,0.2,0.2
97,Dinesh Karthik,Royal Challengers Bangalore,2022,0,0,0,1,1,0,2,5.5
909,Dominic Drakes,Gujarat Titans,2022,1,1,1,0,1,0,0.75,1.1
286,Dushmanta Chameera,Lucknow Super Giants,2022,1,0,1,0,1,0,0.5,2
400,Dwaine Pretorius,Chennai Super Kings,2022,1,1,1,0,1,0,0.5,0.5
41,Dwayne Bravo,Chennai Super Kings,2022,1,1,1,0,1,0,2,4.4
39,Eoin Morgan,Kolkata Knight Riders,2020,1,1,0,0,1,0,2,5.25
103,Evin Lewis,Lucknow Super Giants,2022,1,1,0,0,1,0,2,2
224,Fabian Allen,Mumbai Indians,2022,1,1,1,0,1,0,0.75,0.75
224,Fabian Allen,Punjab Kings,2021,1,1,1,0,1,0,0.75,0.75
224,Fabian Allen,Sunrisers Hyderabad,2020,1,1,1,0,1,0,0.5,0.5
19,Faf Du Plessis,Royal Challengers Bangalore,2022,1,1,0,0,1,0,2,7
4147,Fazalhaq Farooqi,Sunrisers Hyderabad,2022,1,0,1,0,1,0,0.5,0.5
3151,Finn Allen,Royal Challengers Bangalore,2022,1,1,0,0,1,0,0.5,0.8
214,Glenn Maxwell,Royal Challengers Bangalore,2021,1,1,1,0,1,0,2,14.25
214,Glenn Maxwell,Kings XI Punjab,2020,1,1,1,0,1,0,2,10.75
544,Glenn Phillips,Sunrisers Hyderabad,2022,1,0,0,1,1,0,1.5,1.5
14,Gurkeerat Singh Mann,Gujarat Titans,2022,0,1,1,0,0,0,0.5,0.5
30,Harbhajan Singh,Kolkata Knight Riders,2021,0,0,1,0,1,0,1,2
168,Harpreet Brar,Punjab Kings,2022,0,1,1,0,0,0,0.2,3.8
127,Harshal Patel,Royal Challengers Bangalore,2022,0,1,1,0,1,0,2,10.75
0,Hrithik Shokeen,Mumbai Indians,2022,0,1,1,0,0,0,0.2,0.2
137,Ishan Kishan,Mumbai Indians,2022,0,0,0,1,1,0,2,15.25
215,Ishan Porel,Punjab Kings,2022,0,0,1,0,0,1,0.2,0.25
221,Isuru Udana,Royal Challengers Bangalore,2020,1,1,1,0,0,1,0.5,0.5
7,Jagadeesha Suchith,Sunrisers Hyderabad,2022,0,0,1,0,0,1,0.2,0.2
7,Jagadeesha Suchith,Sunrisers Hyderabad,2021,0,0,1,0,0,1,0.2,0.3
130,Jalaj Saxena,Punjab Kings,2021,0,1,1,0,0,1,0.2,0.3
211,James Neesham,Rajasthan Royals,2022,1,1,1,0,1,0,1.5,1.5
211,James Neesham,Mumbai Indians,2021,1,1,1,0,1,0,0.5,0.5
211,James Neesham,Kings XI Punjab,2020,1,1,1,0,1,0,0.5,0.5
135,Jason Behrendorff,Royal Challengers Bangalore,2022,1,0,1,0,1,0,0.75,0.75
242,Jason Holder,Lucknow Super Giants,2022,1,1,1,0,1,0,1.5,8.75
264,Jason Roy,Gujarat Titans,2022,1,1,0,0,1,0,2,2
264,Jason Roy,Delhi Capitals,2020,1,1,0,0,1,0,1,1.5
128,Jayant Yadav,Gujarat Titans,2022,0,1,1,0,1,0,1,1.7
175,Jaydev Unadkat,Mumbai Indians,2022,0,0,1,0,1,0,0.75,1.3
175,Jaydev Unadkat,Rajasthan Royals,2020,0,0,1,0,1,0,0.75,3
375,Jhye Richardson,Punjab Kings,2021,1,0,1,0,1,0,2,14
2060,Jitesh Sharma,Punjab Kings,2022,0,0,0,1,0,0,0.2,0.2
178,Jofra Archer,Mumbai Indians,2022,1,1,1,0,1,0,2,8
54,Jonny Bairstow,Punjab Kings,2022,1,0,0,1,1,0,1.5,6.75
202,Josh Hazlewood,Royal Challengers Bangalore,2022,1,0,1,0,1,0,2,7.75
54,Josh Hazlewood,Chennai Super Kings,2020,1,0,1,0,1,0,2,2
222,Joshua Philippe,Royal Challengers Bangalore,2020,1,0,0,1,1,0,0.2,0.2
4452,K.Bhagath Varma,Chennai Super Kings,2022,0,1,1,0,0,0,0.2,0.2
4452,K.Bhagath Varma,Chennai Super Kings,2021,0,1,1,0,0,0,0.2,0.2
95,K.C Cariappa,Rajasthan Royals,2022,0,0,1,0,0,0,0.2,0.3
95,K.C Cariappa,Rajasthan Royals,2021,0,0,1,0,0,0,0.2,0.2
4,K.M. Asif,Chennai Super Kings,2022,0,0,1,0,0,0,0.2,0.2
2145,K.S. Bharat,Delhi Capitals,2022,0,0,0,1,0,1,0.2,2
