player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,base,Amount
2175,Baltej Dhanda,Punjab Kings,2022,0,0,1,0,0,0,3.5,4,100,4.666666667,1.083333333,12,9.022222222,31.23076923,20.76923077,0,0,45,18,0.2,0.2
73,Basil Thampi,Mumbai Indians,2022,0,0,1,0,0,0,3.545454545,11,111.4285714,6.5,0.888888889,27,9.10989011,34.54166667,22.75,0,16.708,26.49056604,18.32409972,0.3,0.3
138,Ben Cutting,Kolkata Knight Riders,2021,1,1,1,0,1,0,18.48717949,78,148.9669421,26.21818182,0.842105263,76,8.997594226,29.21875,19.484375,120.3475556,512.8374738,13.36532758,15.72963263,0.5,0.75
869,Benny Howell,Punjab Kings,2022,1,1,1,0,0,0,16.37037037,27,147.3333333,22.1,1.235294118,34,7.14325452,20.38095238,17.11904762,66.95563636,184.5088525,16.05405405,10.69262449,0.4,0.4
688,Bhanuka Rajapaksa,Punjab Kings,2022,1,1,0,0,0,0,24.69230769,26,148.2678984,29.18181818,0,2,10.66666667,0,0,211.2184517,105.2746429,30,0,0.5,0.5
66,Bhuvneshwar Kumar,Sunrisers Hyderabad,2022,0,0,1,0,1,0,3.631578947,19,75.82417582,8.625,0.870967742,62,7.287572254,31.12962963,25.62962963,0,46.62133333,12.52247052,14.2725837,2,4.2
2334,C Hari Nishaanth,Chennai Super Kings,2021,0,1,0,0,0,0,25.53571429,28,119.966443,31.08695652,1,4,6.510638298,12.75,11.75,196.893974,64.25463158,0,10.58823529,0.2,0.2
2334,C.Hari Nishaanth,Chennai Super Kings,2022,0,1,0,0,0,0,25.53571429,28,119.966443,31.08695652,1,4,6.510638298,12.75,11.75,196.893974,64.25463158,0,10.58823529,0.2,0.2
2296,Chama Milind,Royal Challengers Bangalore,2022,0,0,1,0,0,0,7.909090909,11,167.3076923,17.4,0.944444444,18,7.511688312,28.35294118,22.64705882,0,83.53609091,35.25,13.42817488,0.2,0.25
4440,Chamika Karunaratne,Kolkata Knight Riders,2022,1,1,1,0,1,0,2,2,36.36363636,2,0,1,11,0,0,0,25.749,0,0,0.5,0.5
1970,Chetan Sakariya,Delhi Capitals,2022,0,0,1,0,0,1,0,1,0,0,1.75,16,7.089385475,15.10714286,12.78571429,0,0,9.466498104,5.627791563,0.5,4.2
1970,Chetan Sakariya,Rajasthan Royals,2021,0,0,1,0,0,1,0,1,0,0,1.75,16,7.089385475,15.10714286,12.78571429,0,0,9.466498104,5.627791563,0.5,1.2
1495,Cheteshwar Pujara,Chennai Super Kings,2021,0,1,0,0,1,0,43.33333333,6,131.3131313,86.66666667,0,0,0,0,0,0,0,0,0,0.5,0.5
238,Chris Green,Kolkata Knight Riders,2020,1,1,1,0,0,0,9.403225806,62,120.4545455,14.575,0.854166667,96,6.989495798,27.04878049,23.2195122,58.85266667,250.0669286,13.36063444,10.83749415,0.2,0.2
209,Chris Jordan,Chennai Super Kings,2022,1,1,1,0,1,0,6.476190476,63,119.2982456,11.02702703,1.053097345,113,8.56924384,28.25210084,19.78151261,38.042,208.2914737,14.68566277,13.86826597,2,3.6
209,Chris Jordan,Kings XI Punjab,2020,1,1,1,0,1,0,6.476190476,63,119.2982456,11.02702703,1.053097345,113,8.56924384,28.25210084,19.78151261,38.042,208.2914737,14.68566277,13.86826597,2,3
84,Chris Lynn,Mumbai Indians,2020,1,1,0,0,1,0,28.28205128,117,144.0574663,30.08181818,0,0,0,0,0,1023.540732,153.1460784,0,0,1,2
274,Chris Woakes,Delhi Capitals,2020,1,1,1,0,1,0,13.71428571,7,147.6923077,24,1.3,10,9.789473684,26.23076923,16.07692308,0,88.05166667,16.48236451,11.7804878,1,1.5
113,Christopher Morris,Rajasthan Royals,2021,1,1,1,0,1,0,10.52631579,57,143.8848921,15,1.291139241,79,8.144876325,22.59803922,16.64705882,104.285,245.1323636,15.48802497,9.992722518,2,16.25
113,Christopher Morris,Royal Challengers Bangalore,2020,1,1,1,0,1,0,10.52631579,57,143.8848921,15,1.291139241,79,8.144876325,22.59803922,16.64705882,104.285,245.1323636,15.48802497,9.992722518,2,10
34,Dale Steyn,Royal Challengers Bangalore,2020,1,0,1,0,1,0,3.8,15,87.69230769,11.4,1.260869565,46,7.397660819,21.81034483,17.68965517,0,57.93361017,12.04721687,14.57245333,1,2
257,Dan Christian,Royal Challengers Bangalore,2021,1,1,1,0,1,0,17.63157895,114,147.037308,26.44736842,0.848214286,112,8.645303867,27.45263158,19.05263158,46.088,647.6961316,18.5836911,13.02560957,2,4.8
208,Daniel Sams,Mumbai Indians,2022,1,1,1,0,1,0,10.68888889,45,145.3172205,14.14705882,1.314814815,54,8.427906977,21.26760563,15.14084507,47.61155556,205.4412376,13.84386339,11.40183045,1,2.6
169,Darshan Nalkande,Gujarat Titans,2022,0,1,1,0,0,0,6.5,10,83.33333333,7.222222222,2.142857143,14,7.973154362,13.2,9.933333333,0,43.026,17.30769231,11.67302452,0.2,0.2
500,Daryl Mitchell,Rajasthan Royals,2022,1,1,1,0,1,0,18.93333333,30,134.5971564,28.4,0.903225806,31,8.498886414,22.71428571,16.03571429,45.09623529,133.6638605,15.23076923,10.29567054,0.75,0.75
181,David Miller,Gujarat Titans,2022,1,1,0,0,1,0,24.71428571,84,142.4845573,35.79310345,0,0,0,0,0,147.0449826,495.6421987,0,0,1,3
181,David Miller,Rajasthan Royals,2020,1,1,0,0,1,0,24.71428571,84,142.4845573,35.79310345,0,0,0,0,0,147.0449826,495.6421987,0,0,0.75,0.75
72,David Warner,Delhi Capitals,2022,1,1,0,0,1,0,33.87142857,70,134.4866704,41.59649123,0,1,12,0,0,647.9453517,186.1344051,0,0,2,6.25
13,David Willey,Royal Challengers Bangalore,2022,1,1,1,0,1,0,20.39473684,38,132.0272572,22.79411765,1,47,8.086393089,26.55319149,19.70212766,207.8273145,100.6667808,13.03342785,13.734879,2,2
385,Dawid Malan,Punjab Kings,2021,1,1,1,0,1,0,27.5125,80,128.3381924,30.15068493,0.166666667,12,8.352,87,62.5,480.9660194,212.8783409,0,8.808510638,1,1.5
2,Deepak Chahar,Chennai Super Kings,2022,0,0,1,0,1,0,7.032258065,31,120.441989,13.625,1.275,80,7.182808023,20.48039216,17.10784314,66.621,46.78721053,13.45510022,10.15814652,2,14
87,Deepak Hooda,Lucknow Super Giants,2022,0,1,1,0,1,0,19.13636364,44,129.7380586,26.3125,0.3,20,7.860465116,56.33333333,43,40.01966667,137.2798438,0,0,0.75,5.75
87,Deepak Hooda,Kings XI Punjab,2020,0,1,1,0,1,0,19.13636364,44,129.7380586,26.3125,0.3,20,7.860465116,56.33333333,43,40.01966667,137.2798438,0,0,0.5,0.5
50,Devdutt Padikkal,Rajasthan Royals,2022,0,1,0,0,1,0,38.60465116,43,142.6116838,43.68421053,0.5,4,10.16666667,30.5,18,287.7686588,95.50166667,25,11.25,2,7.75
637,Devon Conway,Chennai Super Kings,2022,1,1,0,0,1,0,42.5,40,142.4979044,56.66666667,0,0,0,0,0,430.8453333,224.7362275,0,0,1,1
2812,Dhruv Jurel,Rajasthan Royals,2022,0,0,0,1,0,0,14,2,75.67567568,14,0,0,0,0,0,0,0,0,0,0.2,0.2
200,Digvijay Deshmukh,Mumbai Indians,2020,0,1,1,0,0,0,9.5,2,135.7142857,9.5,1.285714286,7,9.923076923,28.66666667,17.33333333,0,0,0,0,0.2,0.2
