Name,Base,Sold,Team,Prev_team,Nationality,Role
MURUGAN ASHWIN,0.2,1.6,MI,PBKS,Indian,Bowler
RAJVARDHAN HANGARGEKAR,0.3,1.5,CSK,Nil,Indian,All-Rounder
ALEX HALES,1.5,1.5,KKR,Nil,Overseas,Batsman
TIM SOUTHEE,1.5,1.5,KKR,KKR,Overseas,Bowler
TYMAL MILLS,1,1.5,MI,Nil,Overseas,Bowler
JAMES NEESHAM,1.5,1.5,RR,MI,Overseas,All-Rounder
GLENN PHILLIPS,1.5,1.5,SRH,RR,Overseas,Wicket Keeper
VIJAY SHANKAR,0.5,1.4,GT,SRH,Indian,All-Rounder
KARUN NAIR,0.5,1.4,RR,KKR,Indian,Batsman
JAYDEV UNADKAT,0.75,1.3,MI,RR,Indian,Bowler
PRASHANT SOLANKI,0.2,1.2,CSK,Nil,Indian,Bowler
KAMLESH NAGARKOTI,0.4,1.1,DC,KKR,Indian,All-Rounder
MANDEEP SINGH,0.5,1.1,DC,PBKS,Indian,Batsman
DOMINIC DRAKES,0.75,1.1,GT,CSK,Overseas,All-Rounder
DEVON CONWAY,1,1,CSK,Nil,Overseas,Batsman
AJINKYA RAHANE,1,1,KKR,DC,Indian,Batsman
MOHAMMAD NABI,1,1,KKR,SRH,Overseas,All-Rounder
RILEY MEREDITH,1,1,MI,PBKS,Overseas,Bowler
SHERFANE RUTHERFORD,1,1,RCB,SRH,Overseas,All-Rounder
RASSIE VAN DER DUSSEN,1,1,RR,Nil,Overseas,Batsman
MAHIPAL LOMROR,0.4,0.95,RCB,RR,Indian,All-Rounder
KRISHNAPPA GOWTHAM,0.5,0.9,LSG,CSK,Indian,All-Rounder
FINN ALLEN,0.5,0.8,RCB,RCB,Overseas,Batsman
FABIAN ALLEN,0.75,0.75,MI,PBKS,Overseas,All-Rounder
NATHAN ELLIS,0.75,0.75,PBKS,PBKS,Overseas,Bowler
JASON BEHRENDORFF,0.75,0.75,RCB,CSK,Overseas,Bowler
SIDDARTH KAUL,0.75,0.75,RCB,SRH,Indian,Bowler
DARYL MITCHELL,0.75,0.75,RR,Nil,Overseas,All-Rounder
OBED MCCOY,0.75,0.75,RR,Nil,Overseas,Bowler
SHREYAS GOPAL,0.2,0.75,SRH,RR,Indian,Bowler
MAHEESH THEEKSHANA,0.5,0.7,CSK,Nil,Overseas,Bowler
LALIT YADAV,0.2,0.65,DC,DC,Indian,All-Rounder
MAYANK MARKANDE,0.5,0.65,MI,RR,Indian,Bowler
SHELDON JACKSON,0.3,0.6,KKR,KKR,Indian,Wicket Keeper
PRABHSIMRAN SINGH,0.2,0.6,PBKS,PBKS,Indian,Wicket Keeper
ASHOK SHARMA,0.2,0.55,KKR,Nil,Indian,Bowler
RINKU SINGH,0.2,0.55,KKR,KKR,Indian,Batsman
RISHI DHAWAN,0.5,0.55,PBKS,Nil,Indian,All-Rounder
DWAINE PRETORIUS,0.5,0.5,CSK,Nil,Overseas,All-Rounder
LUNGI NGIDI,0.5,0.5,DC,CSK,Overseas,Bowler
PRAVIN DUBEY,0.2,0.5,DC,DC,Indian,All-Rounder
TIM SEIFERT,0.5,0.5,DC,KKR,Overseas,Wicket Keeper
YASH DHULL,0.2,0.5,DC,Nil,Indian,All-Rounder
GURKEERAT SINGH MANN,0.5,0.5,GT,KKR,Indian,All-Rounder
VARUN AARON,0.5,0.5,GT,Nil,Indian,Bowler
CHAMIKA KARUNARATNE,0.5,0.5,KKR,Nil,Overseas,All-Rounder
ANKIT RAJPOOT,0.2,0.5,LSG,Nil,Indian,Bowler
KYLE MAYERS,0.5,0.5,LSG,Nil,Overseas,All-Rounder
SHAHBAZ NADEEM,0.5,0.5,LSG,SRH,Indian,Bowler
SANJAY YADAV,0.2,0.5,MI,Nil,Indian,All-Rounder
BHANUKA RAJAPAKSA,0.5,0.5,PBKS,Nil,Overseas,Batsman
SANDEEP SHARMA,0.5,0.5,PBKS,SRH,Indian,Bowler
KARN SHARMA,0.5,0.5,RCB,CSK,Indian,Bowler
FAZALHAQ FAROOQI,0.5,0.5,SRH,Nil,Overseas,Bowler
VISHNU VINOD,0.2,0.5,SRH,DC,Indian,Wicket Keeper
ABHIJEET TOMAR,0.2,0.4,KKR,Nil,Indian,Batsman
BENNY HOWELL,0.4,0.4,PBKS,Nil,Overseas,All-Rounder
NOOR AHMAD,0.3,0.3,GT,Nil,Overseas,Bowler
ARJUN TENDULKAR,0.2,0.3,MI,MI,Indian,All-Rounder
BASIL THAMPI,0.3,0.3,MI,SRH,Indian,Bowler
SUYASH PRABHUDESSAI,0.2,0.3,RCB,RCB,Indian,All-Rounder
KC CARIAPPA,0.2,0.3,RR,RR,Indian,Bowler
ISHAN POREL,0.2,0.25,PBKS,PBKS,Indian,Bowler
CHAMA MILIND,0.2,0.25,RCB,Nil,Indian,Bowler
BHAGATH VARMA,0.2,0.2,CSK,CSK,Indian,All-Rounder
HARI NISHAANTH,0.2,0.2,CSK,CSK,Indian,Batsman
KM ASIF,0.2,0.2,CSK,CSK,Indian,Bowler
MUKESH CHOUDHARY,0.2,0.2,CSK,Nil,Indian,Bowler
NARAYAN JAGADEESAN,0.2,0.2,CSK,CSK,Indian,Wicket Keeper
SIMARJEET SINGH,0.2,0.2,CSK,Nil,Indian,Bowler
SUBHRANSHU SENAPATI,0.2,0.2,CSK,Nil,Indian,Batsman
TUSHAR DESHPANDE,0.2,0.2,CSK,Nil,Indian,Bowler
ASHWIN HEBBAR,0.2,0.2,DC,Nil,Indian,Batsman
RIPAL PATEL,0.2,0.2,DC,DC,Indian,All-Rounder
SARFARAZ KHAN,0.2,0.2,DC,PBKS,Indian,All-Rounder
VICKY OSTWAL,0.2,0.2,DC,Nil,Indian,All-Rounder
DARSHAN NALKANDE,0.2,0.2,GT,PBKS,Indian,All-Rounder
PRADEEP SANGWAN,0.2,0.2,GT,Nil,Indian,All-Rounder
SAI SUDHARSAN,0.2,0.2,GT,Nil,Indian,All-Rounder
AMAN KHAN,0.2,0.2,KKR,Nil,Indian,All-Rounder
