Team,Player,Tournament,Matches,Batting Innings,Not Out,Runds Scored,Highest Score,Batting Average,Balls Faced,Batting Strike Rate,100,50,0,4s,6s,Bowling Innings,Overs Bowled,Maidens Bowled,Runs Conceded,Wickets Taken,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,4+ Innings Wickets,5+ Innings Wickets,Catches Taken,Stumpings Made,Price
Delhi Daredevils,Mohammed Shami,2016,8,2,2,2,2,0,4,50,0,0,0,0,0,8,25.1,0,244,5,48.8,9.69,30.2,0,0,1,0,40000000
Delhi Daredevils,Mohammed Shami,2017,8,6,2,36,2,9,24,150,0,0,0,4,2,8,26,0,243,5,48.6,9.34,31.2,0,0,0,0,30000000
Delhi Daredevils,Mohammed Shami,2018,4,1,0,7,2,7,6,116.66,0,0,0,1,0,4,13.5,0,144,3,48,10.4,27.6,0,0,2,0,30000000
Kings XI Punjab,Mohammed Shami,2019,14,2,1,1,2,1,2,50,0,0,1,0,0,14,54,0,469,19,24.68,8.68,17,0,0,5,0,48000000
Sunrisers Hyderabad,Mohammed Siraj,2017,6,0,0,0,2,0,0,0,0,0,0,0,0,6,23,0,212,10,21.2,9.21,13.8,1,0,1,0,26000000
Royal Challengers Bangalore,Mohammed Siraj,2018,11,4,2,25,2,12.5,22,113.63,0,0,0,2,1,11,41,0,367,11,33.36,8.95,22.3,0,0,5,0,26000000
Royal Challengers Bangalore,Mohammed Siraj,2019,9,4,3,4,2,4,14,28.57,0,0,0,0,0,9,28.1,1,269,7,38.42,9.55,24.1,0,0,2,0,26000000
Kings XI Punjab,MP Stoinis,2016,7,5,1,146,2,36.5,108,135.18,0,1,1,13,4,7,23,0,194,8,24.25,8.43,17.2,1,0,0,0,5500000
Kings XI Punjab,MP Stoinis,2017,5,3,0,17,2,5.66,24,70.83,0,0,0,1,0,5,10.3,0,110,2,55,10.47,31.5,0,0,3,0,20000000
Kings XI Punjab,MP Stoinis,2018,7,7,3,99,2,24.75,76,130.26,0,0,0,6,4,6,11,0,120,3,40,10.9,22,0,0,2,0,62000000
Royal Challengers Bangalore,MP Stoinis,2019,10,10,6,211,2,52.75,156,135.25,0,0,2,14,10,6,16.4,0,145,2,72.5,8.7,50,0,0,2,0,48000000
Rising Pune Supergiants,MR Marsh,2016,3,1,0,7,2,7,11,63.63,0,0,0,0,0,3,9,0,45,4,11.25,5,13.5,0,0,0,0,48000000
Rising Pune Supergiants,MS Dhoni,2016,14,12,5,284,2,40.57,210,135.23,0,1,0,18,14,0,0,0,0,0,0,0,0,0,0,8,4,150000000
Rising Pune Supergiant,MS Dhoni,2017,16,15,4,290,2,26.36,250,116,0,1,0,15,16,0,0,0,0,0,0,0,0,0,0,10,3,150000000
Chennai Super Kings,MS Dhoni,2018,16,15,9,455,2,75.83,302,150.66,0,3,0,24,30,0,0,0,0,0,0,0,0,0,0,11,3,150000000
Chennai Super Kings,MS Dhoni,2019,15,12,7,416,2,83.2,309,134.62,0,3,0,22,23,0,0,0,0,0,0,0,0,0,0,11,5,150000000
Gujarat Lions,MS Gony,2017,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,32,0,0,16,0,0,0,0,0,6000000
Kings XI Punjab,Mujeeb Ur Rahman,2018,11,2,1,10,2,10,7,142.85,0,0,1,2,0,11,41.2,0,289,14,20.64,6.99,17.7,0,0,1,0,10000000
Kings XI Punjab,Mujeeb Ur Rahman,2019,5,3,2,0,2,0,4,0,0,0,1,0,0,5,19,0,191,3,63.66,10.05,38,0,0,1,0,10000000
Sunrisers Hyderabad,Mustafizur Rahman,2016,16,0,0,0,2,0,0,0,0,0,0,0,0,16,61,1,421,17,24.76,6.9,21.5,0,0,2,0,14000000
Sunrisers Hyderabad,Mustafizur Rahman,2017,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2.4,0,34,0,0,12.75,0,0,0,0,0,20000000
Mumbai Indians,Mustafizur Rahman,2018,7,2,1,1,2,1,3,33.33,0,0,0,0,0,7,27.3,0,230,7,32.85,8.36,23.5,0,0,2,0,22000000
Kings XI Punjab,N Pooran,2019,7,6,0,168,2,28,107,157,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,1,0,42000000
Mumbai Indians,N Rana,2016,4,3,0,104,2,34.66,75,138.66,0,1,0,7,8,1,1,0,3,0,0,3,0,0,0,0,0,20000000
Mumbai Indians,N Rana,2017,13,12,1,333,2,30.27,264,126.13,0,3,0,24,17,0,0,0,0,0,0,0,0,0,0,4,0,20000000
Kolkata Knight Riders,N Rana,2018,15,15,2,304,2,23.38,232,131.03,0,1,0,26,14,5,6.1,0,44,4,11,7.13,9.2,0,0,2,0,34000000
Kolkata Knight Riders,N Rana,2019,14,11,1,344,2,34.4,235,146.38,0,3,1,27,21,6,8,0,72,3,24,9,16,0,0,3,0,34000000
Royal Challengers Bangalore,NA Saini,2019,13,2,1,2,2,2,4,50,0,0,0,0,0,13,48,0,397,11,36.09,8.27,26.1,0,0,3,0,30000000
Gujarat Lions,NB Singh,2017,2,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,15,1,15,3.75,24,0,0,0,0,5000000
Rising Pune Supergiants,NLTC Perera,2016,12,10,3,150,2,21.42,93,161.29,0,0,0,7,11,11,33.1,0,326,9,36.22,9.82,22.1,0,0,5,0,10000000
Delhi Daredevils,NM CoulterNile,2016,4,2,2,9,2,0,14,64.28,0,0,0,1,0,4,15,0,114,3,38,7.6,30,0,0,0,0,35000000
Kolkata Knight Riders,NM CoulterNile,2017,8,3,0,14,2,4.66,12,116.66,0,0,0,0,2,8,28.2,0,228,15,15.2,8.04,11.3,0,0,2,0,22000000
Kings XI Punjab,NS Naik,2016,2,2,0,23,2,11.5,31,74.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3000000
Kolkata Knight Riders,NS Naik,2019,1,1,0,7,2,7,16,43.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
Sunrisers Hyderabad,NV Ojha,2016,17,13,3,136,2,13.6,138,98.55,0,0,1,7,5,0,0,0,0,0,0,0,0,0,0,18,0,10000000
Sunrisers Hyderabad,NV Ojha,2017,14,5,1,79,2,19.75,65,121.53,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,6,0,12000000
Delhi Daredevils,NV Ojha,2018,1,1,0,1,2,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000
Rajasthan Royals,O Thomas,2019,4,0,0,0,2,0,0,0,0,0,0,0,0,4,10,0,79,5,15.8,7.9,12,0,0,1,0,11000000
Rajasthan Royals,P Chopra,2018,1,1,0,8,2,8,6,133.33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
Rajasthan Royals,P Chopra,2019,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
Gujarat Lions,P Kumar,2016,16,7,3,24,2,6,26,92.3,0,0,1,3,0,16,51.3,2,401,9,44.55,7.78,34.3,0,0,2,0,22000000
Gujarat Lions,P Kumar,2017,6,2,1,8,2,8,9,88.88,0,0,0,0,0,6,16.3,0,151,6,25.16,9.15,16.5,0,0,0,0,35000000
Delhi Daredevils,P Negi,2016,8,6,4,57,2,28.5,59,96.61,0,0,0,2,3,5,9,0,84,1,84,9.33,54,0,0,2,0,85000000
Royal Challengers Bangalore,P Negi,2017,12,10,2,144,2,18,111,129.72,0,0,0,10,7,12,32.1,0,197,16,12.31,6.12,12,0,0,3,0,10000000
Royal Challengers Bangalore,P Negi,2018,2,2,0,3,2,1.5,5,60,0,0,1,0,0,2,4,0,49,1,49,12.25,24,0,0,0,0,10000000
Royal Challengers Bangalore,P Negi,2019,7,4,0,9,2,2.25,12,75,0,0,2,1,0,4,11.1,0,102,3,34,9.13,22.3,0,0,3,0,10000000
Royal Challengers Bangalore,P Ray Barman,2019,1,1,0,19,2,19,24,79.16,0,0,0,2,0,1,4,0,56,0,0,14,0,0,0,0,0,15000000
Kings XI Punjab,P Sahu,2016,5,2,1,19,2,19,13,146.15,0,0,0,1,1,5,17.3,0,146,3,48.66,8.34,35,0,0,0,0,1000000
Kings XI Punjab,P Simran Singh,2019,1,1,0,16,2,16,17,94.11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,48000000
Mumbai Indians,PA Patel,2016,10,10,0,177,2,17.7,152,116.44,0,1,1,23,4,0,0,0,0,0,0,0,0,0,0,9,1,15000000
Mumbai Indians,PA Patel,2017,16,16,0,395,2,24.68,293,134.81,0,2,2,49,8,0,0,0,0,0,0,0,0,0,0,6,2,15000000
Royal Challengers Bangalore,PA Patel,2018,6,6,1,153,2,30.6,109,140.36,0,1,0,20,4,0,0,0,0,0,0,0,0,0,0,3,0,17000000
Royal Challengers Bangalore,PA Patel,2019,14,14,0,373,2,26.64,268,139.17,0,2,1,48,10,0,0,0,0,0,0,0,0,0,0,6,2,17000000
Royal Challengers Bangalore,Parvez Rasool,2016,4,1,0,10,2,10,9,111.11,0,0,0,1,0,4,14,0,129,1,129,9.21,84,0,0,2,0,10000000
Delhi Daredevils,PJ Cummins,2017,12,9,4,77,2,15.4,53,145.28,0,0,0,5,4,12,46.1,0,373,15,24.86,8.07,18.4,0,0,1,0,54000000
Gujarat Lions,PJ Sangwan,2016,2,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,49,0,0,12.25,0,0,0,1,0,2000000
Gujarat Lions,PJ Sangwan,2017,5,3,1,2,2,1,4,50,0,0,1,0,0,5,18,0,181,5,36.2,10.05,21.6,0,0,0,0,5000000
Mumbai Indians,PJ Sangwan,2018,1,1,0,0,2,0,4,0,0,0,1,0,0,1,2,0,19,0,0,9.5,0,0,0,0,0,12000000
Kolkata Knight Riders,PP Chawla,2016,12,3,0,27,2,9,26,103.84,0,0,0,4,0,11,35.2,0,273,11,24.81,7.72,19.2,0,0,3,0,42000000
Kolkata Knight Riders,PP Chawla,2017,6,1,0,2,2,2,6,33.33,0,0,0,0,0,6,20,0,179,6,29.83,8.95,20,0,0,1,0,42000000
Kolkata Knight Riders,PP Chawla,2018,15,7,3,27,2,6.75,34,79.41,0,0,1,1,1,15,49,0,412,14,29.42,8.4,21,0,0,4,0,42000000
Kolkata Knight Riders,PP Chawla,2019,13,5,2,42,2,14,37,113.51,0,0,0,4,2,13,44.3,0,399,10,39.9,8.96,26.7,0,0,5,0,45000000
Delhi Daredevils,PP Shaw,2018,9,9,0,245,2,27.22,160,153.12,0,2,0,27,10,0,0,0,0,0,0,0,0,0,0,4,0,12000000
Delhi Capitals,PP Shaw,2019,16,16,0,353,2,22.06,264,133.71,0,2,1,45,9,0,0,0,0,0,0,0,0,0,0,2,0,19000000
Rising Pune Supergiants,PSP Handscomb,2016,2,1,0,6,2,6,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000
Gujarat Lions,PV Tambe,2016,7,1,1,7,2,0,19,36.84,0,0,0,1,0,7,16,0,143,5,28.6,8.93,19.2,0,0,1,0,2000000
Delhi Daredevils,Q de Kock,2016,13,13,1,445,2,37.08,327,136.08,1,3,0,52,13,0,0,0,0,0,0,0,0,0,0,2,2,28000000
Royal Challengers Bangalore,Q de Kock,2018,8,8,0,201,2,25.12,162,124.07,0,1,0,20,8,0,0,0,0,0,0,0,0,0,0,7,3,28000000
Mumbai Indians,Q de Kock,2019,16,16,1,529,2,35.26,398,132.91,0,4,1,45,25,0,0,0,0,0,0,0,0,0,0,17,2,40000000
Rising Pune Supergiants,R Ashwin,2016,14,6,4,41,2,20.5,38,107.89,0,0,1,3,1,14,44,0,319,10,31.9,7.25,26.4,1,0,3,0,40000000
Kings XI Punjab,R Ashwin,2018,14,9,1,102,2,12.75,71,143.66,0,0,3,7,5,14,50.4,0,410,10,41,8.09,30.4,0,0,5,0,40000000
Kings XI Punjab,R Ashwin,2019,14,6,1,42,2,8.4,28,150,0,0,2,3,3,14,55,0,400,15,26.66,7.27,22,0,0,4,0,50000000
Rising Pune Supergiants,R Bhatia,2016,10,6,5,34,2,34,20,170,0,0,0,1,2,10,34,1,244,6,40.66,7.17,34,0,0,2,0,6000000
Rising Pune Supergiant,R Bhatia,2017,3,2,1,16,2,16,17,94.11,0,0,0,0,1,3,7,0,55,2,27.5,7.85,21,0,0,2,0,7000000
Kings XI Punjab,R Dhawan,2016,2,2,2,14,2,0,6,233.33,0,0,0,0,1,2,7,0,56,2,28,8,21,0,0,0,0,5500000
Rajasthan Royals,R Parag,2019,7,5,0,160,2,32,126,126.98,0,1,0,17,5,7,14,0,121,2,60.5,8.64,42,0,0,5,0,2000000
Kolkata Knight Riders,R Sathish,2016,4,3,0,24,2,8,24,100,0,0,0,1,1,3,6,0,59,1,59,9.83,36,0,0,0,0,2000000
Kings XI Punjab,R Tewatia,2017,3,2,1,19,2,19,11,172.72,0,0,0,4,0,3,9,0,49,3,16.33,5.44,18,0,0,0,0,2500000
Delhi Daredevils,R Tewatia,2018,8,5,2,50,2,16.66,43,116.27,0,0,0,5,1,8,22,0,173,6,28.83,7.86,22,0,0,2,0,30000000
Delhi Capitals,R Tewatia,2019,5,4,3,26,2,26,22,118.18,0,0,0,2,1,3,6.2,0,42,2,21,6.63,19,0,0,6,0,50000000
Mumbai Indians,R Vinay Kumar,2016,3,2,1,13,2,13,12,108.33,0,0,0,0,1,3,9,1,64,3,21.33,7.11,18,0,0,0,0,20000000
Mumbai Indians,R Vinay Kumar,2017,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,31,2,15.5,10.33,9,0,0,0,0,10000000
Kolkata Knight Riders,R Vinay Kumar,2018,2,1,1,6,2,0,3,200,0,0,0,1,0,2,3.5,0,65,2,32.5,16.95,11.5,0,0,2,0,10000000
Gujarat Lions,RA Jadeja,2016,15,15,6,191,2,21.22,177,107.9,0,0,1,14,4,14,40.1,0,311,8,38.87,7.74,30.1,0,0,4,0,90000000
Gujarat Lions,RA Jadeja,2017,12,10,6,158,2,39.5,113,139.82,0,0,0,13,4,12,38,0,349,5,69.8,9.18,45.6,0,0,2,0,90000000
Chennai Super Kings,RA Jadeja,2018,16,10,5,89,2,17.8,74,120.27,0,0,0,3,4,14,41,0,303,11,27.54,7.39,22.3,0,0,11,0,110000000
Chennai Super Kings,RA Jadeja,2019,16,9,6,106,2,35.33,88,120.45,0,0,0,7,4,16,54,1,343,15,22.86,6.35,21.6,0,0,9,0,120000000
Rising Pune Supergiant,RA Tripathi,2017,14,14,0,391,2,27.92,267,146.44,0,2,1,43,17,1,1,0,12,0,0,12,0,0,0,5,0,1000000
Rajasthan Royals,RA Tripathi,2018,12,12,3,226,2,25.11,167,135.32,0,1,0,18,8,0,0,0,0,0,0,0,0,0,0,4,0,5000000
Rajasthan Royals,RA Tripathi,2019,8,7,1,141,2,23.5,118,119.49,0,1,0,13,2,0,0,0,0,0,0,0,0,0,0,3,0,10000000
Sunrisers Hyderabad,Rashid Khan,2017,14,3,1,11,2,5.5,9,122.22,0,0,0,0,1,14,54,0,358,17,21.05,6.62,19,0,0,5,0,40000000
Sunrisers Hyderabad,Rashid Khan,2018,17,7,2,59,2,11.8,31,190.32,0,0,2,3,6,17,68,2,458,21,21.8,6.73,19.4,0,0,6,0,90000000
Sunrisers Hyderabad,Rashid Khan,2019,15,8,3,34,2,6.8,23,147.82,0,0,3,2,2,15,60,1,377,17,22.17,6.28,21.1,0,0,4,0,90000000
Mumbai Indians,Rasikh Salam,2019,1,1,1,5,2,0,4,125,0,0,0,0,0,1,4,0,42,0,0,10.5,0,0,0,1,0,2000000
Rising Pune Supergiant,RD Chahar,2017,3,1,1,3,2,0,2,150,0,0,0,0,0,2,7,0,58,2,29,8.28,21,0,0,1,0,19000000
Mumbai Indians,RD Chahar,2019,13,4,2,12,2,6,11,109.09,0,0,1,2,0,13,47,0,308,13,23.69,6.55,21.6,0,0,3,0,40000000
Mumbai Indians,RG Sharma,2016,14,14,3,489,2,44.45,368,132.88,0,5,1,49,16,0,0,0,0,0,0,0,0,0,0,2,0,150000000
Mumbai Indians,RG Sharma,2017,17,16,2,333,2,23.78,273,121.97,0,3,1,31,9,0,0,0,0,0,0,0,0,0,0,10,0,150000000
Mumbai Indians,RG Sharma,2018,14,14,2,286,2,23.83,215,133.02,0,2,3,25,12,0,0,0,0,0,0,0,0,0,0,8,0,150000000
Mumbai Indians,RG Sharma,2019,15,15,1,405,2,28.92,315,128.57,0,2,0,52,10,0,0,0,0,0,0,0,0,0,0,4,0,150000000
Sunrisers Hyderabad,RK Bhui,2018,1,1,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
Sunrisers Hyderabad,RK Bhui,2019,1,1,0,7,2,7,12,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
Kolkata Knight Riders,RK Singh,2018,4,4,0,29,2,7.25,31,93.54,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,8000000
Kolkata Knight Riders,RK Singh,2019,5,3,1,37,2,18.5,34,108.82,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,5500000
Rising Pune Supergiants,RP Singh,2016,4,0,0,0,2,0,0,0,0,0,0,0,0,4,12,0,111,3,37,9.25,24,0,0,0,0,3000000
Delhi Daredevils,RR Pant,2016,10,10,2,198,2,24.75,152,130.26,0,1,0,19,6,0,0,0,0,0,0,0,0,0,0,3,0,19000000
Delhi Daredevils,RR Pant,2017,14,14,0,366,2,26.14,221,165.61,0,2,3,28,24,0,0,0,0,0,0,0,0,0,0,8,3,50000000
Delhi Daredevils,RR Pant,2018,14,14,1,684,2,52.61,394,173.6,1,5,1,68,37,0,0,0,0,0,0,0,0,0,0,4,2,90000000
Delhi Capitals,RR Pant,2019,16,16,3,488,2,37.53,300,162.66,0,3,0,37,27,0,0,0,0,0,0,0,0,0,0,18,6,90000000
Kolkata Knight Riders,RV Uthappa,2016,15,15,0,394,2,26.26,289,136.33,0,3,1,45,8,0,0,0,0,0,0,0,0,0,0,10,4,50000000
Kolkata Knight Riders,RV Uthappa,2017,14,13,0,388,2,29.84,235,165.1,0,5,1,36,21,0,0,0,0,0,0,0,0,0,0,9,6,50000000
Kolkata Knight Riders,RV Uthappa,2018,16,16,0,351,2,21.93,265,132.45,0,1,0,30,21,0,0,0,0,0,0,0,0,0,0,5,0,64000000
Kolkata Knight Riders,RV Uthappa,2019,12,11,2,282,2,31.33,245,115.1,0,1,1,28,10,0,0,0,0,0,0,0,0,0,0,4,0,30000000
Royal Challengers Bangalore,S Aravind,2016,9,0,0,0,2,0,0,0,0,0,0,0,0,9,29.1,0,216,11,19.63,7.4,15.9,0,0,3,0,5000000
Royal Challengers Bangalore,S Aravind,2017,10,8,4,32,2,8,40,80,0,0,2,2,0,10,30.3,0,275,5,55,9.01,36.6,0,0,1,0,5000000
Royal Challengers Bangalore,S Badree,2017,7,5,0,13,2,2.6,23,56.52,0,0,2,0,0,7,25,1,188,9,20.88,7.52,16.6,1,0,2,0,5000000
Sunrisers Hyderabad,S Dhawan,2016,17,17,4,501,2,38.53,429,116.78,0,4,1,51,8,0,0,0,0,0,0,0,0,0,0,5,0,50000000
Sunrisers Hyderabad,S Dhawan,2017,14,14,1,479,2,36.84,376,127.39,0,3,0,53,9,0,0,0,0,0,0,0,0,0,0,7,0,50000000
Sunrisers Hyderabad,S Dhawan,2018,16,16,3,497,2,38.23,363,136.91,0,4,1,59,14,0,0,0,0,0,0,0,0,0,0,12,0,52000000
Delhi Capitals,S Dhawan,2019,16,16,1,521,2,34.73,384,135.67,0,5,1,64,11,0,0,0,0,0,0,0,0,0,0,5,0,60000000
Royal Challengers Bangalore,S Dube,2019,4,4,1,40,2,13.33,33,121.21,0,0,0,1,3,2,1.4,0,8,0,0,4.8,0,0,0,1,0,50000000
Mumbai Indians,S Gopal,2016,1,1,0,2,2,2,16,12.5,0,0,0,0,0,1,3,0,18,0,0,6,0,0,0,0,0,2000000
Rajasthan Royals,S Gopal,2018,11,4,1,50,2,16.66,45,111.11,0,0,1,5,0,10,31,0,236,11,21.45,7.61,16.9,1,0,3,0,2000000
Rajasthan Royals,S Gopal,2019,14,7,3,63,2,15.75,46,136.95,0,0,2,8,1,14,48,1,347,20,17.35,7.22,14.4,0,0,5,0,5000000
Sunrisers Hyderabad,S Kaul,2017,10,1,1,0,2,0,2,0,0,0,0,0,0,10,35.4,0,300,16,18.75,8.41,13.3,1,0,3,0,20000000
Sunrisers Hyderabad,S Kaul,2018,17,4,1,3,2,1,14,21.42,0,0,1,0,0,17,66,0,547,21,26.04,8.28,18.8,0,0,2,0,38000000
Sunrisers Hyderabad,S Kaul,2019,7,2,1,0,2,0,1,0,0,0,1,0,0,7,27,0,242,6,40.33,8.96,27,0,0,1,0,38000000
Gujarat Lions,S Kaushik,2016,7,2,1,0,2,0,1,0,0,0,1,0,0,7,23,0,192,6,32,8.34,23,0,0,0,0,1000000
Gujarat Lions,S Kaushik,2017,3,0,0,0,2,0,0,0,0,0,0,0,0,3,11,0,105,0,0,9.54,0,0,0,0,0,2000000
Gujarat Lions,S Ladda,2016,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,21,0,0,10.5,0,0,0,0,0,1000000
Delhi Daredevils,S Lamichhane,2018,3,0,0,0,2,0,0,0,0,0,0,0,0,3,12,0,82,5,16.4,6.83,14.4,0,0,0,0,2000000
Delhi Capitals,S Lamichhane,2019,6,1,0,0,2,0,1,0,0,0,1,0,0,6,23,0,210,8,26.25,9.13,17.2,0,0,2,0,2500000
Rajasthan Royals,S Midhun,2019,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,27,0,0,13.5,0,0,0,1,0,2500000
Delhi Daredevils,S Nadeem,2016,4,1,1,1,2,0,5,20,0,0,0,0,0,4,15,0,127,2,63.5,8.46,45,0,0,0,0,10000000
Delhi Daredevils,S Nadeem,2017,7,4,1,2,2,0.66,9,22.22,0,0,2,0,0,7,17.5,0,119,6,19.83,6.67,17.8,0,0,2,0,10000000
Delhi Daredevils,S Nadeem,2018,6,1,1,6,2,0,8,75,0,0,0,0,0,6,15,0,161,3,53.66,10.73,30,0,0,1,0,32000000
Sunrisers Hyderabad,S Nadeem,2019,3,0,0,0,2,0,0,0,0,0,0,0,0,3,9,0,90,2,45,10,27,0,0,0,0,10000000
Kolkata Knight Riders,S Sandeep Warrier,2019,3,0,0,0,2,0,0,0,0,0,0,0,0,3,12,0,85,2,42.5,7.08,36,0,0,1,0,4000000
Kolkata Knight Riders,SA Yadav,2016,15,11,4,182,2,26,143,127.27,0,1,0,18,5,0,0,0,0,0,0,0,0,0,0,6,0,2000000
Kolkata Knight Riders,SA Yadav,2017,10,7,1,105,2,17.5,88,119.31,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,5,0,2000000
Mumbai Indians,SA Yadav,2018,14,14,0,512,2,36.57,384,133.33,0,4,1,61,16,0,0,0,0,0,0,0,0,0,0,8,0,2000000
Mumbai Indians,SA Yadav,2019,16,15,2,424,2,32.61,324,130.86,0,2,0,45,10,0,0,0,0,0,0,0,0,0,0,9,0,2000000
Royal Challengers Bangalore,Sachin Baby,2016,11,6,2,119,2,29.75,79,150.63,0,0,1,9,5,2,1.4,0,8,2,4,4.8,5,0,0,1,0,1000000
Royal Challengers Bangalore,Sachin Baby,2017,3,3,0,15,2,5,15,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2000000
Kings XI Punjab,Sandeep Sharma,2016,14,4,4,8,2,0,9,88.88,0,0,0,0,0,14,50,1,366,15,24.4,7.32,20,0,0,2,0,2000000
Kings XI Punjab,Sandeep Sharma,2017,13,4,4,7,2,0,6,116.66,0,0,0,0,0,13,48,0,398,17,23.41,8.29,16.9,1,0,3,0,15000000
Sunrisers Hyderabad,Sandeep Sharma,2018,12,3,1,0,2,0,4,0,0,0,2,0,0,12,44,0,333,12,27.75,7.56,22,0,0,2,0,30000000
Sunrisers Hyderabad,Sandeep Sharma,2019,11,2,2,6,2,0,3,200,0,0,0,1,0,11,42.4,0,352,12,29.33,8.25,21.3,0,0,1,0,10000000
Gujarat Lions,SB Jakati,2016,6,1,1,1,2,0,2,50,0,0,0,0,0,6,20,0,178,2,89,8.9,60,0,0,4,0,2000000
Gujarat Lions,SB Jakati,2017,2,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,52,0,0,10.4,0,0,0,0,0,2000000
Chennai Super Kings,SC Kuggeleijn,2019,2,0,0,0,2,0,0,0,0,0,0,0,0,2,8,0,71,2,35.5,8.87,24,0,0,0,0,5000000
Mumbai Indians,SD Lad,2019,1,1,0,15,2,15,13,115.38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2000000
Kings XI Punjab,SE Marsh,2016,6,6,1,159,2,31.8,134,118.65,0,1,0,13,4,0,0,0,0,0,0,0,0,0,0,1,0,48000000
Kings XI Punjab,SE Marsh,2017,9,8,0,264,2,33,194,136.08,0,2,0,36,5,0,0,0,0,0,0,0,0,0,0,2,0,40000000
Delhi Capitals,SE Rutherford,2019,7,7,2,73,2,14.6,54,135.18,0,0,0,2,7,6,6.5,0,59,1,59,8.63,41,0,0,5,0,20000000
Kolkata Knight Riders,Shakib Al Hasan,2016,10,7,2,114,2,22.8,106,107.54,0,1,0,7,5,9,31,0,243,5,48.6,7.83,37.2,0,0,4,0,20000000
Kolkata Knight Riders,Shakib Al Hasan,2017,1,1,1,1,2,0,1,100,0,0,0,0,0,1,3,0,31,0,0,10.33,0,0,0,0,0,20000000
Sunrisers Hyderabad,Shakib Al Hasan,2018,17,13,2,239,2,21.72,197,121.31,0,0,0,26,5,17,57,0,456,14,32.57,8,24.4,0,0,3,0,20000000
Sunrisers Hyderabad,Shakib Al Hasan,2019,3,1,0,9,2,9,10,90,0,0,0,0,0,3,10.5,0,95,2,47.5,8.76,32.5,0,0,0,0,32000000
Kolkata Knight Riders,Shivam Mavi,2018,9,4,1,13,2,4.33,15,86.66,0,0,1,1,0,9,28,0,270,5,54,9.64,33.6,0,0,3,0,30000000
Kolkata Knight Riders,Shubman Gill,2018,13,11,5,203,2,33.83,139,146.04,0,1,0,22,5,0,0,0,0,0,0,0,0,0,0,3,0,18000000
Kolkata Knight Riders,Shubman Gill,2019,14,13,4,296,2,32.88,238,124.36,0,3,0,21,10,0,0,0,0,0,0,0,0,0,0,7,0,25000000
Gujarat Lions,SK Raina,2016,15,15,1,399,2,28.5,312,127.88,0,3,0,39,10,4,10,0,82,0,0,8.2,0,0,0,7,0,120000000
Gujarat Lions,SK Raina,2017,14,14,3,442,2,40.18,307,143.97,0,3,0,42,13,6,12,0,102,1,102,8.5,72,0,0,4,0,120000000
Chennai Super Kings,SK Raina,2018,15,15,3,445,2,37.08,336,132.44,0,4,0,46,12,0,0,0,0,0,0,0,0,0,0,9,0,120000000
Chennai Super Kings,SK Raina,2019,17,17,1,383,2,23.93,314,121.97,0,3,1,45,9,1,1,0,6,0,0,6,0,0,0,7,0,120000000
Mumbai Indians,SL Malinga,2017,12,2,2,7,2,0,3,233.33,0,0,0,0,1,12,44.5,0,382,11,34.72,8.52,24.4,0,0,1,0,20000000
Mumbai Indians,SL Malinga,2019,12,0,0,0,2,0,0,0,0,0,0,0,0,12,44.5,0,438,16,27.37,9.76,16.8,2,0,1,0,20000000
Rising Pune Supergiants,SM Boland,2016,2,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0,54,2,27,7.71,21,0,0,0,0,5000000
Kings XI Punjab,SM Curran,2019,9,8,4,95,2,23.75,55,172.72,0,1,1,13,3,9,33,0,323,10,32.3,9.78,19.8,1,0,2,0,72000000
Royal Challengers Bangalore,SN Khan,2016,5,4,2,66,2,33,31,212.9,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,5000000
