Team,Player,Tournament,Matches,Batting Innings,Not Out,Runds Scored,Highest Score,Batting Average,Balls Faced,Batting Strike Rate,100,50,0,4s,6s,Bowling Innings,Overs Bowled,Maidens Bowled,Runs Conceded,Wickets Taken,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,4+ Innings Wickets,5+ Innings Wickets,Catches Taken,Stumpings Made,Price
Gujarat Lions,JP Faulkner,2016,7,5,2,77,2,25.66,59,130.5,0,0,0,7,0,7,17,0,167,2,83.5,9.82,51,0,0,3,0,20000000
Gujarat Lions,JP Faulkner,2017,8,6,2,54,2,13.5,57,94.73,0,0,0,4,0,8,26.2,0,258,6,43,9.79,26.3,0,0,3,0,20000000
Kolkata Knight Riders,JPR Scantlebury0Searles,2018,4,2,1,8,2,8,6,133.33,0,0,0,0,1,3,7,0,89,2,44.5,12.71,21,0,0,4,0,10000000
Kolkata Knight Riders,JW Hastings,2016,2,0,0,0,2,0,0,0,0,0,0,0,0,2,6.4,1,37,2,18.5,5.55,20,0,0,0,0,13000000
Rajasthan Royals,K Gowtham,2018,15,13,4,126,2,14,64,196.87,0,0,1,9,9,15,40,0,312,11,28.36,7.8,21.8,0,0,10,0,62000000
Rajasthan Royals,K Gowtham,2019,7,4,1,18,2,6,19,94.73,0,0,0,1,1,7,20,0,166,1,166,8.3,120,0,0,0,0,92500000
Royal Challengers Bangalore,K Khejroliya,2018,3,0,0,0,2,0,0,0,0,0,0,0,0,3,10.5,0,107,2,53.5,9.87,32.5,0,0,0,0,8500000
Royal Challengers Bangalore,K Khejroliya,2019,2,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,46,1,46,9.2,30,0,0,0,0,10000000
Delhi Daredevils,K Rabada,2017,6,3,0,55,2,18.33,64,85.93,0,0,1,5,1,6,21.2,0,188,6,31.33,8.81,21.3,0,0,0,0,42000000
Delhi Capitals,K Rabada,2019,12,4,1,14,2,4.66,15,93.33,0,0,1,0,1,12,47,0,368,25,14.72,7.82,11.2,2,0,6,0,92500000
Mumbai Indians,KA Pollard,2016,13,12,4,207,2,25.87,144,143.75,0,1,0,11,16,4,6,0,81,0,0,13.5,0,0,0,5,0,50000000
Mumbai Indians,KA Pollard,2017,17,16,3,385,2,29.61,276,139.49,0,3,0,26,22,1,1.5,0,30,0,0,16.36,0,0,0,15,0,50000000
Mumbai Indians,KA Pollard,2018,9,8,1,133,2,19,100,133,0,1,1,10,7,0,0,0,0,0,0,0,0,0,0,4,0,54000000
Mumbai Indians,KA Pollard,2019,16,14,6,279,2,34.87,178,156.74,0,1,0,14,22,0,0,0,0,0,0,0,0,0,0,8,0,60000000
Kings XI Punjab,KC Cariappa,2016,5,2,1,13,2,13,11,118.18,0,0,0,0,1,5,17,0,159,3,53,9.35,34,0,0,2,0,8000000
Kings XI Punjab,KC Cariappa,2017,4,2,0,2,2,1,7,28.57,0,0,0,0,0,4,15,0,127,4,31.75,8.46,22.5,0,0,1,0,5000000
Kolkata Knight Riders,KC Cariappa,2019,1,1,1,9,2,0,3,300,0,0,0,0,1,1,2,0,34,0,0,17,0,0,0,0,0,5000000
Gujarat Lions,KD Karthik,2016,16,15,2,335,2,25.76,266,125.93,0,3,1,38,3,0,0,0,0,0,0,0,0,0,0,11,3,23000000
Gujarat Lions,KD Karthik,2017,14,13,3,361,2,36.1,259,139.38,0,2,1,30,11,0,0,0,0,0,0,0,0,0,0,8,0,25000000
Kolkata Knight Riders,KD Karthik,2018,16,16,6,498,2,49.8,337,147.77,0,2,0,49,16,0,0,0,0,0,0,0,0,0,0,14,4,74000000
Kolkata Knight Riders,KD Karthik,2019,14,13,5,253,2,31.62,173,146.24,0,2,0,22,14,0,0,0,0,0,0,0,0,0,0,7,0,55000000
Mumbai Indians,KH Pandya,2016,12,9,3,237,2,39.5,124,191.12,0,1,0,22,13,11,31.1,0,236,6,39.33,7.57,31.1,0,0,2,0,20000000
Mumbai Indians,KH Pandya,2017,13,11,4,243,2,34.71,179,135.75,0,0,0,24,7,13,40,0,273,10,27.3,6.82,24,0,0,2,0,40000000
Mumbai Indians,KH Pandya,2018,14,13,3,228,2,22.8,157,145.22,0,0,0,22,10,13,40.1,0,284,12,23.66,7.07,20,0,0,9,0,88000000
Mumbai Indians,KH Pandya,2019,16,15,4,183,2,16.63,150,122,0,0,1,18,5,16,46,0,335,12,27.91,7.28,23,0,0,5,0,82500000
Kings XI Punjab,KJ Abbott,2016,5,3,2,13,2,13,8,162.5,0,0,1,0,1,5,16,0,177,2,88.5,11.06,48,0,0,0,0,21000000
Sunrisers Hyderabad,KK Ahmed,2018,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,38,0,0,12.66,0,0,0,0,0,30000000
Sunrisers Hyderabad,KK Ahmed,2019,9,1,0,0,2,0,1,0,0,0,1,0,0,9,34.5,0,287,19,15.1,8.23,11,0,0,0,0,52500000
