pkey,created_on,last_updated_on,version,balls,fours,innings,maidens,no_balls,position,runs_0,runs,sixes,status,wickets,wide_balls,match_pkey,player_pkey
705,"2021-02-14 23:35:23",NULL,0,24,NULL,1,0,0,5,9,22,NULL,NULL,1,1,62,213
706,"2021-02-14 23:35:23",NULL,0,24,NULL,2,0,0,1,10,33,NULL,NULL,0,0,62,58
707,"2021-02-14 23:35:23",NULL,0,24,NULL,2,0,1,2,9,45,NULL,NULL,1,0,62,38
708,"2021-02-14 23:35:23",NULL,0,24,NULL,2,0,0,3,10,28,NULL,NULL,2,1,62,126
709,"2021-02-14 23:35:23",NULL,0,6,NULL,2,0,0,4,4,2,NULL,NULL,2,0,62,191
710,"2021-02-14 23:35:23",NULL,0,24,NULL,2,0,0,5,11,14,NULL,NULL,1,0,62,109
711,"2021-02-14 23:35:23",NULL,0,18,NULL,2,0,0,6,6,29,NULL,NULL,2,0,62,29
712,"2021-02-14 23:35:29",NULL,0,24,NULL,1,0,0,1,11,25,NULL,NULL,0,1,63,66
713,"2021-02-14 23:35:29",NULL,0,24,NULL,1,0,0,2,7,36,NULL,NULL,0,0,63,71
714,"2021-02-14 23:35:29",NULL,0,24,NULL,1,0,0,3,6,34,NULL,NULL,1,0,63,59
715,"2021-02-14 23:35:29",NULL,0,4,NULL,1,0,0,4,1,6,NULL,NULL,0,0,63,229
716,"2021-02-14 23:35:29",NULL,0,8,NULL,1,0,2,5,4,14,NULL,NULL,1,1,63,99
717,"2021-02-14 23:35:29",NULL,0,24,NULL,1,0,0,6,4,31,NULL,NULL,0,0,63,63
718,"2021-02-14 23:35:29",NULL,0,12,NULL,1,0,0,7,2,16,NULL,NULL,1,0,63,76
719,"2021-02-14 23:35:29",NULL,0,22,NULL,2,0,0,1,9,33,NULL,NULL,1,1,63,34
720,"2021-02-14 23:35:29",NULL,0,24,NULL,2,0,0,2,8,48,NULL,NULL,0,2,63,37
721,"2021-02-14 23:35:29",NULL,0,24,NULL,2,0,0,3,9,25,NULL,NULL,2,1,63,10
722,"2021-02-14 23:35:29",NULL,0,6,NULL,2,0,0,4,4,7,NULL,NULL,0,0,63,25
723,"2021-02-14 23:35:29",NULL,0,24,NULL,2,0,0,5,11,18,NULL,NULL,3,0,63,39
724,"2021-02-14 23:35:29",NULL,0,18,NULL,2,0,0,6,7,15,NULL,NULL,2,0,63,35
725,"2021-02-14 23:35:33",NULL,0,24,NULL,1,0,0,1,8,31,NULL,NULL,1,0,64,2
726,"2021-02-14 23:35:33",NULL,0,24,NULL,1,0,0,2,9,33,NULL,NULL,3,1,64,184
727,"2021-02-14 23:35:33",NULL,0,24,NULL,1,0,2,3,7,56,NULL,NULL,1,2,64,49
728,"2021-02-14 23:35:33",NULL,0,24,NULL,1,0,0,4,6,40,NULL,NULL,0,2,64,24
729,"2021-02-14 23:35:33",NULL,0,24,NULL,1,0,1,5,4,55,NULL,NULL,1,0,64,92
730,"2021-02-14 23:35:33",NULL,0,24,NULL,2,0,0,1,3,44,NULL,NULL,0,2,64,175
731,"2021-02-14 23:35:33",NULL,0,24,NULL,2,0,0,2,13,26,NULL,NULL,1,1,64,178
732,"2021-02-14 23:35:33",NULL,0,24,NULL,2,0,0,3,6,38,NULL,NULL,1,0,64,196
733,"2021-02-14 23:35:33",NULL,0,24,NULL,2,0,1,4,6,54,NULL,NULL,1,0,64,233
734,"2021-02-14 23:35:33",NULL,0,24,NULL,2,0,0,5,7,37,NULL,NULL,3,0,64,131
735,"2021-02-14 23:35:37",NULL,0,18,NULL,1,0,0,1,8,34,NULL,NULL,0,3,65,57
736,"2021-02-14 23:35:37",NULL,0,24,NULL,1,1,0,2,10,32,NULL,NULL,2,3,65,80
737,"2021-02-14 23:35:37",NULL,0,18,NULL,1,0,0,3,3,49,NULL,NULL,0,3,65,241
738,"2021-02-14 23:35:37",NULL,0,24,NULL,1,0,0,4,8,22,NULL,NULL,1,0,65,93
739,"2021-02-14 23:35:37",NULL,0,12,NULL,1,0,0,5,4,17,NULL,NULL,1,0,65,90
740,"2021-02-14 23:35:37",NULL,0,24,NULL,1,0,1,6,3,39,NULL,NULL,0,1,65,64
741,"2021-02-14 23:35:37",NULL,0,24,NULL,2,1,0,1,13,30,NULL,NULL,2,0,65,101
742,"2021-02-14 23:35:37",NULL,0,24,NULL,2,0,0,2,13,25,NULL,NULL,2,1,65,205
743,"2021-02-14 23:35:37",NULL,0,24,NULL,2,0,0,3,14,32,NULL,NULL,2,1,65,119
744,"2021-02-14 23:35:37",NULL,0,24,NULL,2,0,0,4,11,26,NULL,NULL,2,0,65,123
745,"2021-02-14 23:35:37",NULL,0,18,NULL,2,0,0,5,4,21,NULL,NULL,1,1,65,117
746,"2021-02-14 23:35:37",NULL,0,6,NULL,2,0,0,6,2,10,NULL,NULL,0,0,65,143
747,"2021-02-14 23:35:40",NULL,0,18,NULL,1,0,1,1,6,35,NULL,NULL,0,1,66,37
748,"2021-02-14 23:35:40",NULL,0,24,NULL,1,0,0,2,5,57,NULL,NULL,0,1,66,34
749,"2021-02-14 23:35:40",NULL,0,24,NULL,1,0,0,3,8,37,NULL,NULL,0,2,66,10
750,"2021-02-14 23:35:40",NULL,0,24,NULL,1,0,0,4,8,25,NULL,NULL,1,0,66,39
751,"2021-02-14 23:35:40",NULL,0,12,NULL,1,0,0,5,2,13,NULL,NULL,0,0,66,25
752,"2021-02-14 23:35:40",NULL,0,18,NULL,1,0,0,6,3,33,NULL,NULL,2,0,66,35
753,"2021-02-14 23:35:40",NULL,0,18,NULL,2,0,0,1,12,17,NULL,NULL,2,2,66,216
754,"2021-02-14 23:35:40",NULL,0,18,NULL,2,0,0,2,10,14,NULL,NULL,1,0,66,160
755,"2021-02-14 23:35:40",NULL,0,24,NULL,2,0,0,3,12,32,NULL,NULL,3,2,66,213
756,"2021-02-14 23:35:40",NULL,0,18,NULL,2,0,0,4,9,21,NULL,NULL,3,1,66,189
757,"2021-02-14 23:35:40",NULL,0,12,NULL,2,0,0,5,5,13,NULL,NULL,0,1,66,211
758,"2021-02-14 23:35:40",NULL,0,12,NULL,2,0,0,6,5,10,NULL,NULL,1,0,66,214
759,"2021-02-14 23:35:44",NULL,0,24,NULL,1,0,0,1,4,38,NULL,NULL,0,1,67,2
760,"2021-02-14 23:35:44",NULL,0,24,NULL,1,0,0,2,10,27,NULL,NULL,1,1,67,184
761,"2021-02-14 23:35:44",NULL,0,24,NULL,1,0,0,3,10,28,NULL,NULL,0,1,67,202
762,"2021-02-14 23:35:44",NULL,0,24,NULL,1,0,0,4,8,33,NULL,NULL,2,0,67,92
763,"2021-02-14 23:35:44",NULL,0,24,NULL,1,0,0,5,4,44,NULL,NULL,0,0,67,24
764,"2021-02-14 23:35:44",NULL,0,24,NULL,2,0,0,1,11,26,NULL,NULL,3,0,67,126
765,"2021-02-14 23:35:44",NULL,0,24,NULL,2,0,0,2,10,18,NULL,NULL,1,0,67,109
766,"2021-02-14 23:35:44",NULL,0,24,NULL,2,0,0,3,12,21,NULL,NULL,2,3,67,58
767,"2021-02-14 23:35:44",NULL,0,24,NULL,2,0,0,4,7,42,NULL,NULL,0,1,67,112
768,"2021-02-14 23:35:44",NULL,0,24,NULL,2,0,0,5,6,23,NULL,NULL,0,0,67,147
769,"2021-02-14 23:35:48",NULL,0,24,NULL,1,0,0,1,5,31,NULL,NULL,0,0,68,93
770,"2021-02-14 23:35:48",NULL,0,24,NULL,1,0,0,2,11,19,NULL,NULL,1,0,68,241
771,"2021-02-14 23:35:48",NULL,0,12,NULL,1,0,0,3,6,15,NULL,NULL,0,1,68,80
772,"2021-02-14 23:35:48",NULL,0,12,NULL,1,0,0,4,3,15,NULL,NULL,0,0,68,64
773,"2021-02-14 23:35:48",NULL,0,24,NULL,1,0,0,5,9,25,NULL,NULL,1,0,68,164
774,"2021-02-14 23:35:48",NULL,0,12,NULL,1,0,0,6,2,17,NULL,NULL,0,1,68,70
775,"2021-02-14 23:35:48",NULL,0,12,NULL,1,0,0,7,4,16,NULL,NULL,1,1,68,90
776,"2021-02-14 23:35:48",NULL,0,18,NULL,2,0,1,1,7,29,NULL,NULL,0,0,68,66
777,"2021-02-14 23:35:48",NULL,0,18,NULL,2,0,0,2,10,28,NULL,NULL,1,0,68,85
778,"2021-02-14 23:35:48",NULL,0,18,NULL,2,0,0,3,6,27,NULL,NULL,1,1,68,59
779,"2021-02-14 23:35:48",NULL,0,24,NULL,2,0,0,4,8,25,NULL,NULL,1,0,68,63
780,"2021-02-14 23:35:48",NULL,0,24,NULL,2,0,0,5,5,23,NULL,NULL,0,2,68,75
781,"2021-02-14 23:35:48",NULL,0,6,NULL,2,0,0,6,0,11,NULL,NULL,0,0,68,76
782,"2021-02-14 23:35:51",NULL,0,18,NULL,1,0,0,1,5,30,NULL,NULL,0,2,69,175
783,"2021-02-14 23:35:51",NULL,0,24,NULL,1,0,1,2,7,39,NULL,NULL,1,1,69,176
784,"2021-02-14 23:35:51",NULL,0,24,NULL,1,0,0,3,9,46,NULL,NULL,0,1,69,178
785,"2021-02-14 23:35:51",NULL,0,24,NULL,1,0,0,4,4,44,NULL,NULL,0,1,69,196
786,"2021-02-14 23:35:51",NULL,0,6,NULL,1,0,0,5,0,19,NULL,NULL,0,0,69,131
787,"2021-02-14 23:35:51",NULL,0,24,NULL,1,0,0,6,4,44,NULL,NULL,1,1,69,233
788,"2021-02-14 23:35:51",NULL,0,18,NULL,2,0,0,1,8,52,NULL,NULL,1,3,69,216
789,"2021-02-14 23:35:51",NULL,0,24,NULL,2,0,0,2,8,53,NULL,NULL,3,1,69,160
790,"2021-02-14 23:35:51",NULL,0,24,NULL,2,0,0,3,12,34,NULL,NULL,0,2,69,213
791,"2021-02-14 23:35:51",NULL,0,24,NULL,2,0,0,4,5,40,NULL,NULL,1,0,69,211
792,"2021-02-14 23:35:51",NULL,0,9,NULL,2,0,0,5,2,16,NULL,NULL,1,0,69,189
793,"2021-02-14 23:35:51",NULL,0,18,NULL,2,0,0,6,6,29,NULL,NULL,0,0,69,214
794,"2021-02-14 23:35:55",NULL,0,24,NULL,1,0,0,1,8,34,NULL,NULL,2,0,70,101
795,"2021-02-14 23:35:55",NULL,0,24,NULL,1,0,0,2,9,51,NULL,NULL,0,0,70,205
796,"2021-02-14 23:35:55",NULL,0,24,NULL,1,0,0,3,7,31,NULL,NULL,1,1,70,123
797,"2021-02-14 23:35:55",NULL,0,24,NULL,1,0,0,4,10,42,NULL,NULL,0,1,70,119
798,"2021-02-14 23:35:55",NULL,0,18,NULL,1,0,0,5,6,23,NULL,NULL,0,1,70,143
799,"2021-02-14 23:35:55",NULL,0,6,NULL,1,0,0,6,0,13,NULL,NULL,0,0,70,117
800,"2021-02-14 23:35:55",NULL,0,24,NULL,2,0,0,1,7,45,NULL,NULL,2,3,70,221
801,"2021-02-14 23:35:55",NULL,0,24,NULL,2,0,0,2,13,12,NULL,NULL,1,0,70,25
802,"2021-02-14 23:35:55",NULL,0,24,NULL,2,0,0,3,8,43,NULL,NULL,0,2,70,10
803,"2021-02-14 23:35:55",NULL,0,24,NULL,2,0,0,4,2,48,NULL,NULL,1,0,70,39
804,"2021-02-14 23:35:55",NULL,0,24,NULL,2,0,0,5,3,53,NULL,NULL,1,0,70,225
805,"2021-02-14 23:35:59",NULL,0,18,NULL,1,0,0,1,4,26,NULL,NULL,0,2,71,144
806,"2021-02-14 23:35:59",NULL,0,24,NULL,1,0,0,2,11,21,NULL,NULL,2,0,71,126
807,"2021-02-14 23:35:59",NULL,0,24,NULL,1,0,0,3,6,40,NULL,NULL,0,0,71,58
808,"2021-02-14 23:35:59",NULL,0,18,NULL,1,0,0,4,4,22,NULL,NULL,0,0,71,29
809,"2021-02-14 23:35:59",NULL,0,24,NULL,1,0,0,5,6,35,NULL,NULL,2,0,71,147
810,"2021-02-14 23:35:59",NULL,0,12,NULL,1,0,0,6,2,14,NULL,NULL,0,1,71,109
811,"2021-02-14 23:35:59",NULL,0,24,NULL,2,0,0,1,13,25,NULL,NULL,2,1,71,66
812,"2021-02-14 23:35:59",NULL,0,24,NULL,2,0,0,2,9,43,NULL,NULL,1,1,71,85
813,"2021-02-14 23:35:59",NULL,0,24,NULL,2,0,0,3,8,25,NULL,NULL,1,1,71,59
814,"2021-02-14 23:35:59",NULL,0,24,NULL,2,0,0,4,4,34,NULL,NULL,0,1,71,76
815,"2021-02-14 23:35:59",NULL,0,24,NULL,2,0,0,5,13,14,NULL,NULL,3,0,71,63
816,"2021-02-14 23:36:02",NULL,0,24,NULL,1,0,0,1,14,18,NULL,NULL,2,0,72,178
817,"2021-02-14 23:36:02",NULL,0,24,NULL,1,0,0,2,9,39,NULL,NULL,1,4,72,176
818,"2021-02-14 23:36:02",NULL,0,12,NULL,1,0,0,3,6,14,NULL,NULL,1,0,72,175
819,"2021-02-14 23:36:02",NULL,0,24,NULL,1,0,0,4,7,37,NULL,NULL,1,4,72,233
820,"2021-02-14 23:36:02",NULL,0,24,NULL,1,0,0,5,7,43,NULL,NULL,0,0,72,196
821,"2021-02-14 23:36:02",NULL,0,6,NULL,1,0,0,6,0,14,NULL,NULL,0,0,72,151
822,"2021-02-14 23:36:02",NULL,0,6,NULL,1,0,0,7,3,6,NULL,NULL,1,0,72,131
823,"2021-02-14 23:36:02",NULL,0,24,NULL,2,0,0,1,9,40,NULL,NULL,1,1,72,93
824,"2021-02-14 23:36:02",NULL,0,18,NULL,2,0,0,2,12,13,NULL,NULL,1,0,72,241
825,"2021-02-14 23:36:02",NULL,0,24,NULL,2,0,0,3,13,20,NULL,NULL,2,0,72,80
826,"2021-02-14 23:36:02",NULL,0,12,NULL,2,0,0,4,6,13,NULL,NULL,2,0,72,70
827,"2021-02-14 23:36:02",NULL,0,24,NULL,2,0,0,5,7,25,NULL,NULL,2,0,72,164
828,"2021-02-14 23:36:02",NULL,0,18,NULL,2,0,0,6,8,20,NULL,NULL,1,0,72,64
829,"2021-02-14 23:36:06",NULL,0,24,NULL,1,1,0,1,14,20,NULL,NULL,1,1,73,216
830,"2021-02-14 23:36:06",NULL,0,24,NULL,1,0,0,2,9,36,NULL,NULL,1,2,73,160
831,"2021-02-14 23:36:06",NULL,0,24,NULL,1,0,0,3,8,37,NULL,NULL,0,1,73,213
832,"2021-02-14 23:36:06",NULL,0,24,NULL,1,0,0,4,6,45,NULL,NULL,1,0,73,174
833,"2021-02-14 23:36:06",NULL,0,24,NULL,1,0,0,5,4,52,NULL,NULL,0,1,73,211
834,"2021-02-14 23:36:06",NULL,0,24,NULL,2,0,0,1,5,42,NULL,NULL,1,0,73,101
835,"2021-02-14 23:36:06",NULL,0,24,NULL,2,0,0,2,7,28,NULL,NULL,2,1,73,205
836,"2021-02-14 23:36:06",NULL,0,24,NULL,2,0,0,3,9,27,NULL,NULL,1,3,73,143
837,"2021-02-14 23:36:06",NULL,0,24,NULL,2,0,0,4,13,18,NULL,NULL,2,0,73,119
838,"2021-02-14 23:36:06",NULL,0,24,NULL,2,0,0,5,9,26,NULL,NULL,2,1,73,123
839,"2021-02-14 23:36:09",NULL,0,24,NULL,1,0,0,1,11,31,NULL,NULL,2,2,74,2
840,"2021-02-14 23:36:09",NULL,0,18,NULL,1,0,1,2,5,37,NULL,NULL,0,1,74,184
841,"2021-02-14 23:36:09",NULL,0,24,NULL,1,0,1,3,9,32,NULL,NULL,1,1,74,40
842,"2021-02-14 23:36:09",NULL,0,24,NULL,1,0,0,4,6,28,NULL,NULL,0,2,74,41
843,"2021-02-14 23:36:09",NULL,0,18,NULL,1,0,0,5,7,20,NULL,NULL,1,0,74,92
844,"2021-02-14 23:36:09",NULL,0,12,NULL,1,0,0,6,5,16,NULL,NULL,0,0,74,24
845,"2021-02-14 23:36:09",NULL,0,19,NULL,2,0,0,1,9,20,NULL,NULL,1,0,74,66
846,"2021-02-14 23:36:09",NULL,0,23,NULL,2,0,0,2,9,34,NULL,NULL,0,2,74,85
847,"2021-02-14 23:36:09",NULL,0,24,NULL,2,0,0,3,9,43,NULL,NULL,2,1,74,59
848,"2021-02-14 23:36:09",NULL,0,6,NULL,2,0,0,4,2,4,NULL,NULL,0,0,74,76
849,"2021-02-14 23:36:09",NULL,0,24,NULL,2,0,0,5,16,12,NULL,NULL,0,0,74,63
850,"2021-02-14 23:36:09",NULL,0,24,NULL,2,0,0,6,7,41,NULL,NULL,1,1,74,217
851,"2021-02-14 23:36:15",NULL,0,24,NULL,1,0,0,1,8,41,NULL,NULL,2,1,75,221
852,"2021-02-14 23:36:15",NULL,0,24,NULL,1,0,0,2,8,20,NULL,NULL,0,0,75,25
853,"2021-02-14 23:36:15",NULL,0,24,NULL,1,1,1,3,10,37,NULL,NULL,1,0,75,10
854,"2021-02-14 23:36:15",NULL,0,24,NULL,1,0,0,4,10,24,NULL,NULL,3,0,75,39
855,"2021-02-14 23:36:15",NULL,0,18,NULL,1,0,0,5,3,27,NULL,NULL,0,0,75,225
856,"2021-02-14 23:36:15",NULL,0,6,NULL,1,0,0,6,2,4,NULL,NULL,0,0,75,35
857,"2021-02-14 23:36:15",NULL,0,24,NULL,2,0,0,1,15,18,NULL,NULL,1,0,75,178
858,"2021-02-14 23:36:15",NULL,0,18,NULL,2,0,0,2,3,31,NULL,NULL,0,0,75,175
859,"2021-02-14 23:36:15",NULL,0,24,NULL,2,0,0,3,5,27,NULL,NULL,1,0,75,196
860,"2021-02-14 23:36:15",NULL,0,19,NULL,2,0,0,4,3,40,NULL,NULL,0,0,75,233
861,"2021-02-14 23:36:15",NULL,0,24,NULL,2,0,0,5,7,28,NULL,NULL,0,0,75,131
862,"2021-02-14 23:36:15",NULL,0,6,NULL,2,0,0,6,3,13,NULL,NULL,0,1,75,151
863,"2021-02-14 23:36:18",NULL,0,24,NULL,1,0,0,1,2,49,NULL,NULL,0,0,76,241
864,"2021-02-14 23:36:18",NULL,0,18,NULL,1,0,0,2,2,40,NULL,NULL,0,0,76,80
865,"2021-02-14 23:36:18",NULL,0,24,NULL,1,0,0,3,6,49,NULL,NULL,1,0,76,164
866,"2021-02-14 23:36:18",NULL,0,12,NULL,1,0,0,4,1,26,NULL,NULL,0,0,76,93
867,"2021-02-14 23:36:18",NULL,0,24,NULL,1,0,0,5,11,29,NULL,NULL,2,0,76,90
868,"2021-02-14 23:36:18",NULL,0,18,NULL,1,0,0,6,1,35,NULL,NULL,1,2,76,70
869,"2021-02-14 23:36:18",NULL,0,24,NULL,2,0,0,1,8,51,NULL,NULL,1,0,76,126
870,"2021-02-14 23:36:18",NULL,0,24,NULL,2,0,0,2,11,33,NULL,NULL,3,0,76,58
871,"2021-02-14 23:36:18",NULL,0,12,NULL,2,0,0,3,1,26,NULL,NULL,0,1,76,191
872,"2021-02-14 23:36:18",NULL,0,24,NULL,2,0,0,4,6,46,NULL,NULL,1,1,76,29
873,"2021-02-14 23:36:18",NULL,0,24,NULL,2,0,1,5,7,34,NULL,NULL,2,3,76,127
874,"2021-02-14 23:36:18",NULL,0,12,NULL,2,0,1,6,5,14,NULL,NULL,1,0,76,147
875,"2021-02-14 23:36:21",NULL,0,24,NULL,1,0,0,1,9,41,NULL,NULL,2,0,77,71
876,"2021-02-14 23:36:21",NULL,0,24,NULL,1,0,0,2,11,29,NULL,NULL,0,0,77,59
877,"2021-02-14 23:36:21",NULL,0,24,NULL,1,0,1,3,6,64,NULL,NULL,2,1,77,98
878,"2021-02-14 23:36:21",NULL,0,12,NULL,1,0,0,4,1,27,NULL,NULL,0,0,77,217
879,"2021-02-14 23:36:21",NULL,0,24,NULL,1,0,0,5,11,22,NULL,NULL,1,1,77,63
880,"2021-02-14 23:36:21",NULL,0,12,NULL,1,0,0,6,0,24,NULL,NULL,0,0,77,78
881,"2021-02-14 23:36:21",NULL,0,24,NULL,2,0,0,1,11,28,NULL,NULL,2,0,77,101
882,"2021-02-14 23:36:21",NULL,0,24,NULL,2,0,0,2,8,29,NULL,NULL,2,1,77,205
883,"2021-02-14 23:36:21",NULL,0,24,NULL,2,0,0,3,9,35,NULL,NULL,1,4,77,143
884,"2021-02-14 23:36:21",NULL,0,24,NULL,2,0,0,4,8,41,NULL,NULL,2,2,77,119
885,"2021-02-14 23:36:21",NULL,0,18,NULL,2,0,0,5,6,20,NULL,NULL,0,2,77,117
886,"2021-02-14 23:36:21",NULL,0,6,NULL,2,0,0,6,1,16,NULL,NULL,0,0,77,123
887,"2021-02-14 23:36:23",NULL,0,18,NULL,1,0,0,1,9,17,NULL,NULL,0,0,78,2
888,"2021-02-14 23:36:23",NULL,0,18,NULL,1,0,0,2,3,31,NULL,NULL,0,0,78,184
889,"2021-02-14 23:36:23",NULL,0,24,NULL,1,0,0,3,8,39,NULL,NULL,2,1,78,40
890,"2021-02-14 23:36:23",NULL,0,24,NULL,1,0,0,4,7,38,NULL,NULL,0,2,78,41
891,"2021-02-14 23:36:23",NULL,0,24,NULL,1,0,0,5,7,30,NULL,NULL,1,0,78,24
892,"2021-02-14 23:36:23",NULL,0,12,NULL,1,0,0,6,2,22,NULL,NULL,1,0,78,92
893,"2021-02-14 23:36:23",NULL,0,18,NULL,2,0,0,1,5,30,NULL,NULL,0,2,78,216
894,"2021-02-14 23:36:23",NULL,0,22,NULL,2,0,0,2,7,35,NULL,NULL,0,2,78,160
895,"2021-02-14 23:36:23",NULL,0,24,NULL,2,0,0,3,6,41,NULL,NULL,0,1,78,168
896,"2021-02-14 23:36:23",NULL,0,18,NULL,2,0,0,4,2,42,NULL,NULL,0,0,78,209
897,"2021-02-14 23:36:23",NULL,0,24,NULL,2,0,0,5,10,33,NULL,NULL,0,2,78,213
898,"2021-02-14 23:36:25",NULL,0,24,NULL,1,0,0,1,5,40,NULL,NULL,1,1,79,221
899,"2021-02-14 23:36:25",NULL,0,24,NULL,1,0,0,2,9,20,NULL,NULL,0,0,79,25
900,"2021-02-14 23:36:25",NULL,0,18,NULL,1,0,1,3,4,48,NULL,NULL,0,0,79,10
901,"2021-02-14 23:36:25",NULL,0,18,NULL,1,0,0,4,4,29,NULL,NULL,0,0,79,39
902,"2021-02-14 23:36:25",NULL,0,24,NULL,1,0,1,5,11,34,NULL,NULL,2,1,79,32
903,"2021-02-14 23:36:25",NULL,0,12,NULL,1,0,0,6,2,21,NULL,NULL,1,2,79,12
904,"2021-02-14 23:36:25",NULL,0,24,NULL,2,0,0,1,9,24,NULL,NULL,4,2,79,126
905,"2021-02-14 23:36:25",NULL,0,24,NULL,2,0,0,2,13,22,NULL,NULL,2,1,79,58
906,"2021-02-14 23:36:25",NULL,0,24,NULL,2,0,0,3,9,26,NULL,NULL,1,1,79,191
907,"2021-02-14 23:36:25",NULL,0,24,NULL,2,0,0,4,10,18,NULL,NULL,2,0,79,109
908,"2021-02-14 23:36:25",NULL,0,24,NULL,2,0,0,5,5,43,NULL,NULL,0,2,79,127
909,"2021-02-14 23:36:27",NULL,0,18,NULL,1,0,1,1,5,42,NULL,NULL,0,1,80,176
910,"2021-02-14 23:36:27",NULL,0,24,NULL,1,0,0,2,11,28,NULL,NULL,2,0,80,196
911,"2021-02-14 23:36:27",NULL,0,24,NULL,1,0,1,3,11,34,NULL,NULL,1,0,80,178
912,"2021-02-14 23:36:27",NULL,0,24,NULL,1,0,0,4,8,36,NULL,NULL,1,3,80,234
913,"2021-02-14 23:36:27",NULL,0,18,NULL,1,0,0,5,5,33,NULL,NULL,0,1,80,233
914,"2021-02-14 23:36:27",NULL,0,12,NULL,1,0,0,6,4,13,NULL,NULL,0,0,80,131
915,"2021-02-14 23:36:27",NULL,0,24,NULL,2,0,0,1,12,26,NULL,NULL,2,0,80,101
916,"2021-02-14 23:36:27",NULL,0,24,NULL,2,0,0,2,14,20,NULL,NULL,4,0,80,119
917,"2021-02-14 23:36:27",NULL,0,19,NULL,2,0,0,3,9,19,NULL,NULL,2,0,80,205
918,"2021-02-14 23:36:27",NULL,0,18,NULL,2,0,0,4,6,24,NULL,NULL,1,1,80,123
919,"2021-02-14 23:36:27",NULL,0,12,NULL,2,0,0,5,2,22,NULL,NULL,0,0,80,143
920,"2021-02-14 23:36:27",NULL,0,12,NULL,2,0,0,6,3,24,NULL,NULL,1,0,80,117
921,"2021-02-14 23:36:29",NULL,0,24,NULL,1,0,0,1,4,47,NULL,NULL,0,2,81,2
922,"2021-02-14 23:36:29",NULL,0,24,NULL,1,0,0,2,9,26,NULL,NULL,2,0,81,184
923,"2021-02-14 23:36:29",NULL,0,24,NULL,1,0,0,3,13,28,NULL,NULL,2,2,81,40
924,"2021-02-14 23:36:29",NULL,0,24,NULL,1,0,0,4,5,25,NULL,NULL,2,0,81,45
925,"2021-02-14 23:36:29",NULL,0,24,NULL,1,0,0,5,8,37,NULL,NULL,3,2,81,41
926,"2021-02-14 23:36:29",NULL,0,24,NULL,2,0,0,1,11,25,NULL,NULL,0,2,81,241
927,"2021-02-14 23:36:29",NULL,0,18,NULL,2,0,0,2,3,32,NULL,NULL,1,0,81,80
928,"2021-02-14 23:36:29",NULL,0,24,NULL,2,0,0,3,7,28,NULL,NULL,1,0,81,164
929,"2021-02-14 23:36:29",NULL,0,18,NULL,2,0,0,4,6,21,NULL,NULL,1,0,81,70
930,"2021-02-14 23:36:29",NULL,0,24,NULL,2,0,0,5,9,31,NULL,NULL,1,0,81,93
931,"2021-02-14 23:36:29",NULL,0,12,NULL,2,0,0,6,5,18,NULL,NULL,1,0,81,90
932,"2021-02-14 23:36:31",NULL,0,18,NULL,1,0,0,1,7,33,NULL,NULL,0,2,82,216
933,"2021-02-14 23:36:31",NULL,0,24,NULL,1,0,0,2,6,39,NULL,NULL,0,0,82,193
934,"2021-02-14 23:36:31",NULL,0,24,NULL,1,0,0,3,8,40,NULL,NULL,1,0,82,160
935,"2021-02-14 23:36:31",NULL,0,12,NULL,1,0,0,4,2,26,NULL,NULL,0,0,82,214
936,"2021-02-14 23:36:31",NULL,0,18,NULL,1,0,0,5,7,29,NULL,NULL,3,0,82,213
937,"2021-02-14 23:36:31",NULL,0,24,NULL,1,0,1,6,9,33,NULL,NULL,2,2,82,154
938,"2021-02-14 23:36:31",NULL,0,24,NULL,2,0,0,1,9,27,NULL,NULL,0,1,82,71
939,"2021-02-14 23:36:31",NULL,0,18,NULL,2,0,0,2,8,24,NULL,NULL,2,0,82,85
940,"2021-02-14 23:36:31",NULL,0,23,NULL,2,0,0,3,11,24,NULL,NULL,2,1,82,59
941,"2021-02-14 23:36:31",NULL,0,6,NULL,2,0,0,4,2,15,NULL,NULL,1,0,82,76
942,"2021-02-14 23:36:31",NULL,0,24,NULL,2,1,0,5,13,12,NULL,NULL,3,0,82,63
943,"2021-02-14 23:36:31",NULL,0,6,NULL,2,0,0,6,1,28,NULL,NULL,0,0,82,217
944,"2021-02-14 23:36:33",NULL,0,12,NULL,1,0,1,1,4,25,NULL,NULL,0,0,83,163
945,"2021-02-14 23:36:33",NULL,0,24,NULL,1,0,0,2,11,24,NULL,NULL,3,1,83,178
946,"2021-02-14 23:36:33",NULL,0,24,NULL,1,0,0,3,10,35,NULL,NULL,1,1,83,234
947,"2021-02-14 23:36:33",NULL,0,24,NULL,1,0,1,4,5,50,NULL,NULL,1,2,83,179
948,"2021-02-14 23:36:33",NULL,0,12,NULL,1,0,0,5,4,23,NULL,NULL,0,0,83,196
949,"2021-02-14 23:36:33",NULL,0,24,NULL,1,0,0,6,11,20,NULL,NULL,1,1,83,131
950,"2021-02-14 23:36:33",NULL,0,22,NULL,2,0,1,1,7,35,NULL,NULL,3,2,83,126
951,"2021-02-14 23:36:33",NULL,0,24,NULL,2,0,0,2,13,25,NULL,NULL,1,2,83,58
952,"2021-02-14 23:36:33",NULL,0,24,NULL,2,0,0,3,9,22,NULL,NULL,2,1,83,191
