pkey,created_on,last_updated_on,version,balls,fours,innings,maidens,no_balls,position,runs_0,runs,sixes,status,wickets,wide_balls,match_pkey,player_pkey
49,"2021-02-14 23:32:30",NULL,0,12,NULL,1,0,0,2,5,19,NULL,NULL,0,0,5,40
50,"2021-02-14 23:32:30",NULL,0,24,NULL,1,0,0,3,10,30,NULL,NULL,0,2,5,30
51,"2021-02-14 23:32:30",NULL,0,24,NULL,1,0,0,4,8,23,NULL,NULL,1,0,5,24
52,"2021-02-14 23:32:30",NULL,0,12,NULL,1,0,0,5,3,20,NULL,NULL,1,0,5,36
53,"2021-02-14 23:32:30",NULL,0,24,NULL,1,0,0,6,8,33,NULL,NULL,3,2,5,41
54,"2021-02-14 23:32:30",NULL,0,18,NULL,2,0,0,1,5,28,NULL,NULL,1,0,5,144
55,"2021-02-14 23:32:30",NULL,0,24,NULL,2,0,0,2,15,16,NULL,NULL,0,0,5,109
56,"2021-02-14 23:32:30",NULL,0,22,NULL,2,0,0,3,10,26,NULL,NULL,1,0,5,126
57,"2021-02-14 23:32:30",NULL,0,24,NULL,2,0,0,4,9,35,NULL,NULL,2,1,5,147
58,"2021-02-14 23:32:30",NULL,0,12,NULL,2,0,0,5,3,20,NULL,NULL,0,0,5,131
59,"2021-02-14 23:32:30",NULL,0,18,NULL,2,0,1,6,6,20,NULL,NULL,0,1,5,150
60,"2021-02-14 23:32:33",NULL,0,24,NULL,1,0,1,1,9,44,NULL,NULL,1,0,6,160
61,"2021-02-14 23:32:33",NULL,0,18,NULL,1,0,0,2,8,35,NULL,NULL,1,0,6,164
62,"2021-02-14 23:32:33",NULL,0,24,NULL,1,0,0,3,11,36,NULL,NULL,1,2,6,152
63,"2021-02-14 23:32:33",NULL,0,24,NULL,1,0,0,4,7,37,NULL,NULL,1,0,6,179
64,"2021-02-14 23:32:33",NULL,0,24,NULL,1,0,0,5,5,47,NULL,NULL,0,1,6,191
65,"2021-02-14 23:32:33",NULL,0,6,NULL,1,0,0,6,1,18,NULL,NULL,0,0,6,162
66,"2021-02-14 23:32:33",NULL,0,24,NULL,2,0,0,1,10,42,NULL,NULL,0,1,6,81
67,"2021-02-14 23:32:33",NULL,0,24,NULL,2,0,0,2,10,42,NULL,NULL,1,2,6,96
68,"2021-02-14 23:32:33",NULL,0,18,NULL,2,0,0,3,7,21,NULL,NULL,2,0,6,90
69,"2021-02-14 23:32:33",NULL,0,24,NULL,2,0,0,4,6,32,NULL,NULL,0,2,6,64
70,"2021-02-14 23:32:33",NULL,0,12,NULL,2,0,0,5,3,26,NULL,NULL,0,0,6,93
71,"2021-02-14 23:32:33",NULL,0,18,NULL,2,0,0,6,6,26,NULL,NULL,1,0,6,92
72,"2021-02-14 23:32:36",NULL,0,24,NULL,1,0,0,1,11,26,NULL,NULL,2,1,7,37
73,"2021-02-14 23:32:36",NULL,0,24,NULL,1,0,1,2,12,40,NULL,NULL,0,0,7,10
74,"2021-02-14 23:32:36",NULL,0,24,NULL,1,0,0,3,11,38,NULL,NULL,2,1,7,32
75,"2021-02-14 23:32:36",NULL,0,24,NULL,1,0,0,4,7,38,NULL,NULL,4,1,7,39
76,"2021-02-14 23:32:36",NULL,0,18,NULL,1,0,0,5,2,27,NULL,NULL,0,1,7,3
77,"2021-02-14 23:32:36",NULL,0,6,NULL,1,0,0,6,1,13,NULL,NULL,0,0,7,12
78,"2021-02-14 23:32:36",NULL,0,12,NULL,2,0,0,1,2,24,NULL,NULL,0,0,7,105
79,"2021-02-14 23:32:36",NULL,0,24,NULL,2,0,0,2,5,47,NULL,NULL,0,2,7,121
80,"2021-02-14 23:32:36",NULL,0,24,NULL,2,0,0,3,14,20,NULL,NULL,3,1,7,119
81,"2021-02-14 23:32:36",NULL,0,18,NULL,2,0,0,4,6,37,NULL,NULL,0,0,7,118
82,"2021-02-14 23:32:36",NULL,0,24,NULL,2,0,0,5,5,28,NULL,NULL,0,0,7,143
83,"2021-02-14 23:32:36",NULL,0,18,NULL,2,0,0,6,6,23,NULL,NULL,1,0,7,133
84,"2021-02-14 23:32:38",NULL,0,24,NULL,1,0,0,1,7,55,NULL,NULL,0,2,8,66
85,"2021-02-14 23:32:38",NULL,0,24,NULL,1,0,0,2,4,38,NULL,NULL,0,0,8,71
86,"2021-02-14 23:32:38",NULL,0,24,NULL,1,0,0,3,10,24,NULL,NULL,1,0,8,63
87,"2021-02-14 23:32:38",NULL,0,24,NULL,1,0,1,4,7,32,NULL,NULL,0,1,8,98
88,"2021-02-14 23:32:38",NULL,0,18,NULL,1,0,0,5,2,36,NULL,NULL,1,0,8,67
89,"2021-02-14 23:32:38",NULL,0,6,NULL,1,0,0,6,1,13,NULL,NULL,0,0,8,99
90,"2021-02-14 23:32:38",NULL,0,18,NULL,2,0,0,1,3,40,NULL,NULL,0,1,8,185
91,"2021-02-14 23:32:38",NULL,0,12,NULL,2,0,0,2,1,25,NULL,NULL,0,0,8,174
92,"2021-02-14 23:32:38",NULL,0,24,NULL,2,0,0,3,9,42,NULL,NULL,0,2,8,178
93,"2021-02-14 23:32:38",NULL,0,18,NULL,2,0,0,4,3,40,NULL,NULL,1,0,8,161
94,"2021-02-14 23:32:38",NULL,0,24,NULL,2,0,0,5,8,27,NULL,NULL,3,0,8,196
95,"2021-02-14 23:32:38",NULL,0,18,NULL,2,0,0,6,5,26,NULL,NULL,1,2,8,175
96,"2021-02-14 23:32:41",NULL,0,24,NULL,1,0,0,1,8,26,NULL,NULL,0,1,9,191
97,"2021-02-14 23:32:41",NULL,0,24,NULL,1,0,0,2,7,42,NULL,NULL,2,1,9,160
98,"2021-02-14 23:32:41",NULL,0,24,NULL,1,0,0,3,7,40,NULL,NULL,2,0,9,152
99,"2021-02-14 23:32:41",NULL,0,24,NULL,1,0,0,4,4,40,NULL,NULL,1,2,9,179
100,"2021-02-14 23:32:41",NULL,0,24,NULL,1,0,0,5,11,25,NULL,NULL,2,0,9,189
101,"2021-02-14 23:32:41",NULL,0,24,NULL,2,0,0,1,8,35,NULL,NULL,0,1,9,105
102,"2021-02-14 23:32:41",NULL,0,18,NULL,2,0,0,2,6,24,NULL,NULL,0,1,9,121
103,"2021-02-14 23:32:41",NULL,0,22,NULL,2,0,0,3,12,23,NULL,NULL,0,0,9,119
104,"2021-02-14 23:32:41",NULL,0,18,NULL,2,0,0,4,4,39,NULL,NULL,0,3,9,118
105,"2021-02-14 23:32:41",NULL,0,24,NULL,2,0,0,5,3,43,NULL,NULL,2,1,9,143
106,"2021-02-14 23:32:41",NULL,0,6,NULL,2,0,0,6,1,12,NULL,NULL,0,1,9,133
107,"2021-02-14 23:32:44",NULL,0,24,NULL,1,0,0,1,6,41,NULL,NULL,1,1,10,126
108,"2021-02-14 23:32:44",NULL,0,24,NULL,1,0,0,2,12,29,NULL,NULL,1,0,10,120
109,"2021-02-14 23:32:44",NULL,0,24,NULL,1,0,0,3,10,35,NULL,NULL,1,0,10,113
110,"2021-02-14 23:32:44",NULL,0,24,NULL,1,0,1,4,7,40,NULL,NULL,2,1,10,127
111,"2021-02-14 23:32:44",NULL,0,24,NULL,1,0,0,5,10,36,NULL,NULL,1,1,10,147
