Player,Role,Team,Year,Player Origin,Amt,Amt_inf
Dinesh Karthik,Wicket Keeper,Delhi Daredevils,2014,Indian,12.5,18.0817
Dishant Yagnik,Wicket Keeper,Rajasthan Royals,2014,Indian,0.3,0.434
Dwayne Smith,Batsman,Chennai Super Kings,2014,Overseas,4.5,6.5094
Faf Du Plessis,Batsman,Chennai Super Kings,2014,Overseas,4.75,6.871
George Bailey,Batsman,Kings XI Punjab,2014,Overseas,3.25,4.7012
Glenn Maxwell,All-Rounder,Kings XI Punjab,2014,Overseas,6,8.6792
Gurkeerat Singh Mann,Batsman,Kings XI Punjab,2014,Indian,1.3,1.8805
Harshal Patel,Bowler,Royal Challengers Bangalore,2014,Indian,0.4,0.5786
HS Sharath,Bowler,Delhi Daredevils,2014,Indian,0.1,0.1447
Iqbal Abdullah,All-Rounder,Rajasthan Royals,2014,Indian,0.65,0.9402
Irfan Pathan,All-Rounder,Sunrisers Hyderabad,2014,Indian,2.4,3.4717
Ishant Sharma,Bowler,Sunrisers Hyderabad,2014,Indian,2.6,3.761
Ishwar Chandra Pandey,Bowler,Chennai Super Kings,2014,Indian,1.5,2.1698
Jacques Kallis,All-Rounder,Kolkata Knight Riders,2014,Overseas,5.5,7.9559
Jalaj Saxena,All-Rounder,Mumbai Indians,2014,Indian,0.9,1.3019
James Neesham,All-Rounder,Delhi Daredevils,2014,Overseas,1,1.4465
Jason Holder,Bowler,Sunrisers Hyderabad,2014,Overseas,0.75,1.0849
Jasprit Bumrah,Bowler,Mumbai Indians,2014,Indian,1.2,1.7358
Jayant Yadav,All-Rounder,Delhi Daredevils,2014,Indian,0.1,0.1447
Jaydev Unadkat,Bowler,Delhi Daredevils,2014,Indian,2.8,4.0503
Jean-Paul Duminy,Batsman,Delhi Daredevils,2014,Overseas,2.2,3.1824
John Hastings,All-Rounder,Chennai Super Kings,2014,Overseas,0.5,0.7233
Josh Hazlewood,Bowler,Mumbai Indians,2014,Overseas,0.5,0.7233
Kane Richardson,Bowler,Rajasthan Royals,2014,Overseas,1,1.4465
Karanveer Singh,All-Rounder,Kings XI Punjab,2014,Indian,0.1,0.1447
Karn Sharma,Bowler,Sunrisers Hyderabad,2014,Indian,3.75,5.4245
Karun Nair,Batsman,Rajasthan Royals,2014,Indian,0.75,1.0849
Kedar Jadhav,Batsman,Delhi Daredevils,2014,Indian,2,2.8931
Kevin Pietersen,Batsman,Delhi Daredevils,2014,Overseas,9,13.0188
Kevon Cooper,All-Rounder,Rajasthan Royals,2014,Overseas,0.3,0.434
KL Rahul,Batsman,Sunrisers Hyderabad,2014,Indian,1,1.4465
Krismar Santokie,Bowler,Mumbai Indians,2014,Overseas,0.3,0.434
Kuldeep Yadav,Bowler,Kolkata Knight Riders,2014,Indian,0.4,0.5786
Lakshmipathy Balaji,Bowler,Kings XI Punjab,2014,Indian,1.8,2.6038
Laxmi Ratan Shukla,All-Rounder,Delhi Daredevils,2014,Indian,1.5,2.1698
Mandeep Hardev Singh,All-Rounder,Kings XI Punjab,2014,Indian,0.8,1.1572
Manish Pandey,Batsman,Kolkata Knight Riders,2014,Indian,1.7,2.4591
Manoj Tiwary,Batsman,Delhi Daredevils,2014,Indian,2.8,4.0503
Manprit Juneja,Batsman,Sunrisers Hyderabad,2014,Indian,0.1,0.1447
Manvinder Bisla,Wicket Keeper,Kolkata Knight Riders,2014,Indian,0.6,0.8679
Marchant De Lange,Bowler,Mumbai Indians,2014,Overseas,0.3,0.434
Matt Henry,Bowler,Chennai Super Kings,2014,Overseas,0.3,0.434
Mayank Agarwal,Batsman,Delhi Daredevils,2014,Indian,1.6,2.3145
Michael Hussey,Batsman,Mumbai Indians,2014,Overseas,5,7.2327
Milind Kumar,Batsman,Delhi Daredevils,2014,Indian,0.1,0.1447
Mitchell Johnson,All-Rounder,Kings XI Punjab,2014,Overseas,6.5,9.4025
Mitchell Starc,Bowler,Royal Challengers Bangalore,2014,Overseas,5,7.2327
Mithun Manhas,All-Rounder,Chennai Super Kings,2014,Indian,0.3,0.434
Mohammad Shami,Bowler,Delhi Daredevils,2014,Indian,4.25,6.1478
Mohit Sharma,Bowler,Chennai Super Kings,2014,Indian,2,2.8931
Moises Henriques,All-Rounder,Sunrisers Hyderabad,2014,Overseas,1,1.4465
Morne Morkel,Bowler,Kolkata Knight Riders,2014,Overseas,2.8,4.0503
Murali Kartik,Bowler,Kings XI Punjab,2014,Indian,1,1.4465
Murali Vijay,Batsman,Delhi Daredevils,2014,Indian,5,7.2327
Muttiah Muralitharan,Bowler,Royal Challengers Bangalore,2014,Overseas,1,1.4465
Naman Ojha,Wicket Keeper,Sunrisers Hyderabad,2014,Indian,0.5,0.7233
Nathan Coulter-Nile,Bowler,Delhi Daredevils,2014,Overseas,4.25,6.1478
Nic Maddinson,Batsman,Royal Challengers Bangalore,2014,Overseas,0.5,0.7233
Parthiv Patel,Wicket Keeper,Royal Challengers Bangalore,2014,Indian,1.4,2.0251
Parveez Rasool,All-Rounder,Sunrisers Hyderabad,2014,Indian,0.95,1.3742
Parvinder Awana,Bowler,Kings XI Punjab,2014,Indian,0.65,0.9402
Pat Cummins,Bowler,Kolkata Knight Riders,2014,Overseas,1,1.4465
Pawan Negi,Bowler,Chennai Super Kings,2014,Indian,0.1,0.1447
Pawan Suyal,Bowler,Mumbai Indians,2014,Indian,0.1,0.1447
Piyush Chawla,Bowler,Kolkata Knight Riders,2014,Indian,4.25,6.1478
Pragyan Ojha,Bowler,Mumbai Indians,2014,Indian,3.25,4.7012
Prasanth Parameswaran,Bowler,Sunrisers Hyderabad,2014,Indian,0.3,0.434
Pravin Tambe,Bowler,Rajasthan Royals,2014,Indian,0.1,0.1447
Quinton De Kock,Wicket Keeper,Delhi Daredevils,2014,Overseas,3.5,5.0629
Rahul Sharma,Bowler,Delhi Daredevils,2014,Indian,1.9,2.7484
Rahul Shukla,Bowler,Delhi Daredevils,2014,Indian,0.4,0.5786
Rahul Tewatia,All-Rounder,Rajasthan Royals,2014,Indian,0.1,0.1447
Rajat Bhatia,All-Rounder,Rajasthan Royals,2014,Indian,1.7,2.4591
Ranganath Vinay Kumar,Bowler,Kolkata Knight Riders,2014,Indian,2.8,4.0503
Ravi Rampaul,Bowler,Royal Challengers Bangalore,2014,Overseas,0.9,1.3019
Ricky Bhui,Batsman,Sunrisers Hyderabad,2014,Overseas,0.1,0.1447
Rishi Dhawan,All-Rounder,Kings XI Punjab,2014,Indian,3,4.3396
Robin Uthappa,Batsman,Kolkata Knight Riders,2014,Indian,5,7.2327
Ronit More,Bowler,Chennai Super Kings,2014,Indian,0.1,0.1447
Ross Taylor,Batsman,Delhi Daredevils,2014,Overseas,2,2.8931
Ryan Ten Doeschate,All-Rounder,Kolkata Knight Riders,2014,Overseas,1,1.4465
Sachin Rana,Bowler,Royal Challengers Bangalore,2014,Indian,0.2,0.2893
Samuel Badree,Bowler,Chennai Super Kings,2014,Overseas,0.3,0.434
Sandeep Sharma,Bowler,Kings XI Punjab,2014,Indian,0.85,1.2296
Sandeep Warrier,Bowler,Royal Challengers Bangalore,2014,Indian,0.1,0.1447
Saurabh Tiwary,Batsman,Delhi Daredevils,2014,Indian,0.7,1.0126
Sayan Sekhar Mandal,All-Rounder,Kolkata Knight Riders,2014,Indian,0.1,0.1447
