Player,Role,Team,Year,Player Origin,Amt,Amt_inf
Praveen Kumar,Bowler,Gujarat Lions,2016,Indian,3.5,4.6185
Pravin Tambe,Bowler,Gujarat Lions,2016,Indian,0.2,0.2639
Rajagopal Sathish,All-Rounder,Kolkata Knight Riders,2016,Indian,0.2,0.2639
Rajat Bhatia,All-Rounder,Rising Pune Supergiant,2016,Indian,0.6,0.7917
Rishabh Pant,Wicket Keeper,Delhi Daredevils,2016,Indian,1.9,2.5072
Rudra Pratap Singh,Bowler,Rising Pune Supergiant,2016,Indian,0.3,0.3959
Sachin Baby,Batsman,Royal Challengers Bangalore,2016,Indian,0.1,0.132
Sam Billings,Wicket Keeper,Delhi Daredevils,2016,Overseas,0.3,0.3959
Samuel Badree,Bowler,Royal Challengers Bangalore,2016,Overseas,0.5,0.6598
Sanju Samson,Wicket Keeper,Delhi Daredevils,2016,Indian,4.2,5.5422
Sarabjit Ladda,Bowler,Gujarat Lions,2016,Indian,0.1,0.132
Scott Boland,Bowler,Rising Pune Supergiant,2016,Overseas,0.5,0.6598
Shadab Jakati,All-Rounder,Gujarat Lions,2016,Indian,0.2,0.2639
Shane Watson,All-Rounder,Royal Challengers Bangalore,2016,Overseas,9.5,12.536
Shivil Kaushik,Bowler,Gujarat Lions,2016,Indian,0.1,0.132
Stuart Binny,All-Rounder,Royal Challengers Bangalore,2016,Indian,2,2.6392
Swapnil Singh,All-Rounder,Kings XI Punjab,2016,Indian,0.1,0.132
Syed Khaleel Ahmed,All-Rounder,Delhi Daredevils,2016,Indian,0.1,0.132
Thisara Perera,All-Rounder,Rising Pune Supergiant,2016,Overseas,1,1.3196
Tim Southee,Bowler,Mumbai Indians,2016,Overseas,2.5,3.299
Tirumalasetti Suman,Batsman,Sunrisers Hyderabad,2016,Indian,0.1,0.132
Travis Head,Batsman,Royal Challengers Bangalore,2016,Overseas,0.5,0.6598
Umang Sharma,Batsman,Gujarat Lions,2016,Indian,0.1,0.132
Vijay Shankar,All-Rounder,Sunrisers Hyderabad,2016,Indian,0.35,0.4619
Vikas Tokas,Bowler,Royal Challengers Bangalore,2016,Indian,0.1,0.132
Vikramjeet Malik,Bowler,Royal Challengers Bangalore,2016,Indian,0.2,0.2639
Yuvraj Singh,All-Rounder,Sunrisers Hyderabad,2016,Indian,7,9.2371
Aditya Tare,Wicket Keeper,Delhi Daredevils,2017,Indian,0.25,0.3184
Akshdeep Nath,All-Rounder,Gujarat Lions,2017,Indian,0.1,0.1274
Angelo Mathews,All-Rounder,Delhi Daredevils,2017,Overseas,2,2.5475
Aniket Choudhary,Bowler,Royal Challengers Bangalore,2017,Indian,2,2.5475
Ankeet Bawane,Batsman,Delhi Daredevils,2017,Indian,0.1,0.1274
Asela Gunarathna,Batsman,Mumbai Indians,2017,Overseas,0.3,0.3821
Basil Thampi,Bowler,Gujarat Lions,2017,Indian,0.85,1.0827
Ben Laughlin,Bowler,Sunrisers Hyderabad,2017,Overseas,0.3,0.3821
Benjamin Stokes,All-Rounder,Rising Pune Supergiant,2017,Overseas,14.5,18.4691
Billy Stanlake,Bowler,Royal Challengers Bangalore,2017,Overseas,0.3,0.3821
Chirag Suri,Batsman,Gujarat Lions,2017,Indian,0.1,0.1274
Chris Jordan,All-Rounder,Sunrisers Hyderabad,2017,Overseas,0.5,0.6369
Chris Woakes,All-Rounder,Kolkata Knight Riders,2017,Overseas,4.2,5.3497
Corey Anderson,All-Rounder,Delhi Daredevils,2017,Overseas,1,1.2737
Daniel Christian,All-Rounder,Rising Pune Supergiant,2017,Overseas,1,1.2737
Darren Bravo,Batsman,Kolkata Knight Riders,2017,Overseas,0.5,0.6369
Darren Sammy,All-Rounder,Kings XI Punjab,2017,Overseas,0.3,0.3821
Eklavya Dwivedi,Wicket Keeper,Sunrisers Hyderabad,2017,Indian,0.75,0.9553
Eoin Morgan,Batsman,Kings XI Punjab,2017,Overseas,2,2.5475
Ishank Jaggi,Batsman,Kolkata Knight Riders,2017,Indian,0.1,0.1274
Jason Roy,Batsman,Gujarat Lions,2017,Overseas,1,1.2737
Jaydev Unadkat,Bowler,Rising Pune Supergiant,2017,Indian,0.3,0.3821
Kagiso Rabada,Bowler,Delhi Daredevils,2017,Overseas,5,6.3686
Karn Sharma,All-Rounder,Mumbai Indians,2017,Indian,3.2,4.0759
Krishnappa Gowtham,All-Rounder,Mumbai Indians,2017,Indian,2,2.5475
Kulwant Khejroliya,Bowler,Mumbai Indians,2017,Indian,0.1,0.1274
Lockie Ferguson,Bowler,Rising Pune Supergiant,2017,Overseas,0.5,0.6369
M. Ashwin,Bowler,Delhi Daredevils,2017,Indian,1,1.2737
Manoj Tiwary,Batsman,Rising Pune Supergiant,2017,Indian,0.5,0.6369
Manpreet Gony,Bowler,Gujarat Lions,2017,Indian,0.6,0.7642
Martin Guptill,Batsman,Kings XI Punjab,2017,Overseas,0.5,0.6369
Matt Henry,Bowler,Kings XI Punjab,2017,Overseas,0.5,0.6369
Milind Tandon,All-Rounder,Rising Pune Supergiant,2017,Indian,0.1,0.1274
Mitchell Johnson,Bowler,Mumbai Indians,2017,Overseas,2,2.5475
Mohammad Nabi,All-Rounder,Sunrisers Hyderabad,2017,Overseas,0.3,0.3821
Mohammed Siraj,Bowler,Sunrisers Hyderabad,2017,Indian,2.6,3.3117
Munaf Patel,Bowler,Gujarat Lions,2017,Indian,0.3,0.3821
Nathan Coulter-Nile,Bowler,Kolkata Knight Riders,2017,Overseas,3.5,4.458
Nathu Singh,Bowler,Gujarat Lions,2017,Indian,0.5,0.6369
Navdeep Saini,Bowler,Delhi Daredevils,2017,Indian,0.1,0.1274
Nicolas Pooran,Wicket Keeper,Mumbai Indians,2017,Overseas,0.3,0.3821
Pat Cummins,Bowler,Delhi Daredevils,2017,Overseas,4.5,5.7318
Pawan Negi,All-Rounder,Royal Challengers Bangalore,2017,Indian,1,1.2737
Pratham Singh,All-Rounder,Gujarat Lions,2017,Indian,0.1,0.1274
Praveen Dubey,All-Rounder,Royal Challengers Bangalore,2017,Indian,0.1,0.1274
Pravin Tambe,Bowler,Sunrisers Hyderabad,2017,Indian,0.1,0.1274
R. Sanjay Yadav,All-Rounder,Kolkata Knight Riders,2017,Indian,0.1,0.1274
Rahul Ajay Tripathi,All-Rounder,Rising Pune Supergiant,2017,Indian,0.1,0.1274
Rahul Chahar,Bowler,Rising Pune Supergiant,2017,Indian,0.1,0.1274
Rahul Tewatia,All-Rounder,Kings XI Punjab,2017,Indian,0.25,0.3184
Rashid Khan Arman,Bowler,Sunrisers Hyderabad,2017,Overseas,4,5.0949
Rinku Singh,Batsman,Kings XI Punjab,2017,Indian,0.1,0.1274
Rishi Dhawan,All-Rounder,Kolkata Knight Riders,2017,Indian,0.55,0.7006
Rovman Powell,All-Rounder,Kolkata Knight Riders,2017,Overseas,0.3,0.3821
Saurabh Kumar,Bowler,Rising Pune Supergiant,2017,Indian,0.1,0.1274
Saurabh Tiwary,Batsman,Mumbai Indians,2017,Indian,0.3,0.3821
Sayan Ghosh,Bowler,Kolkata Knight Riders,2017,Indian,0.1,0.1274
Shashank Singh,All-Rounder,Delhi Daredevils,2017,Indian,0.1,0.1274
Shelley Shaurya,Bowler,Gujarat Lions,2017,Indian,0.1,0.1274
Shubam Agrawal,All-Rounder,Gujarat Lions,2017,Indian,0.1,0.1274
T Natarajan,Bowler,Kings XI Punjab,2017,Indian,3,3.8212
Tanmay Agarwal,Batsman,Sunrisers Hyderabad,2017,Indian,0.1,0.1274
Tejas Singh Baroka,Bowler,Gujarat Lions,2017,Indian,0.1,0.1274
Trent Boult,Bowler,Kolkata Knight Riders,2017,Overseas,5,6.3686
Tymal Mills,Bowler,Royal Challengers Bangalore,2017,Overseas,12,15.2847
Varun Aaron,Bowler,Kings XI Punjab,2017,Indian,2.8,3.5664
Aaron Finch,Batsman,Kings XI Punjab,2018,Overseas,6.2,7.6352
Abhishek Sharma,All-Rounder,Delhi Daredevils,2018,Indian,0.55,0.6773
Aditya Tare,Wicket Keeper,Mumbai Indians,2018,Indian,0.2,0.2463
Ajinkya Rahane,Batsman,Rajasthan Royals,2018,Indian,4,4.926
Akila Dhananjaya,Bowler,Mumbai Indians,2018,Overseas,0.5,0.6157
Akshdeep Nath,All-Rounder,Kings XI Punjab,2018,Indian,1,1.2315
Ambati Rayudu,Wicket Keeper,Chennai Super Kings,2018,Indian,2.2,2.7093
Amit Mishra,Bowler,Delhi Daredevils,2018,Indian,4,4.926
Andrew Tye,Bowler,Kings XI Punjab,2018,Overseas,7.2,8.8667
Aniket Choudhary,Bowler,Royal Challengers Bangalore,2018,Indian,0.3,0.3694
Anirudha Ashok Joshi,All-Rounder,Royal Challengers Bangalore,2018,Indian,0.2,0.2463
Ankit Sharma,All-Rounder,Rajasthan Royals,2018,Indian,0.2,0.2463
Ankit Singh Rajpoot,Bowler,Kings XI Punjab,2018,Indian,3,3.6945
Anukul Roy,All-Rounder,Mumbai Indians,2018,Indian,0.2,0.2463
Anureet Singh,Bowler,Rajasthan Royals,2018,Indian,0.3,0.3694
Apoorv Vijay Wankhade,Batsman,Kolkata Knight Riders,2018,Indian,0.2,0.2463
Aryaman Vikram Birla,All-Rounder,Rajasthan Royals,2018,Indian,0.3,0.3694
Asif K M,Bowler,Chennai Super Kings,2018,Indian,0.4,0.4926
Avesh Khan,Bowler,Delhi Daredevils,2018,Indian,0.7,0.862
Barinder Singh Sran,Bowler,Kings XI Punjab,2018,Indian,2.2,2.7093
Basil Thampi,Bowler,Sunrisers Hyderabad,2018,Indian,0.95,1.1699
Ben Cutting,All-Rounder,Mumbai Indians,2018,Overseas,2.2,2.7093
Ben Dwarshuis,Bowler,Kings XI Punjab,2018,Overseas,1.4,1.7241
Ben Laughlin,Bowler,Rajasthan Royals,2018,Overseas,0.5,0.6157
Benjamin Stokes,All-Rounder,Rajasthan Royals,2018,Overseas,12.5,15.3936
Billy Stanlake,Batsman,Sunrisers Hyderabad,2018,Overseas,0.5,0.6157
Bipul Sharma,All-Rounder,Sunrisers Hyderabad,2018,Indian,0.2,0.2463
Brendon McCullum,Batsman,Royal Challengers Bangalore,2018,Overseas,3.6,4.4334
Cameron Delport,All-Rounder,Kolkata Knight Riders,2018,Overseas,0.3,0.3694
Carlos Brathwaite,All-Rounder,Sunrisers Hyderabad,2018,Overseas,2,2.463
Chaitanya Bishnoi,All-Rounder,Chennai Super Kings,2018,Indian,0.2,0.2463
Chris Jordan,All-Rounder,Sunrisers Hyderabad,2018,Overseas,1,1.2315
Chris Lynn,Batsman,Kolkata Knight Riders,2018,Overseas,9.6,11.8223
Chris Woakes,All-Rounder,Royal Challengers Bangalore,2018,Overseas,7.4,9.113
Christopher Gayle,Batsman,Kings XI Punjab,2018,Overseas,2,2.463
Colin De Grandhomme,All-Rounder,Royal Challengers Bangalore,2018,Overseas,2.2,2.7093
Colin Munro,All-Rounder,Delhi Daredevils,2018,Overseas,1.9,2.3398
Daniel Christian,All-Rounder,Delhi Daredevils,2018,Overseas,1.5,1.8472
Darcy Short,All-Rounder,Rajasthan Royals,2018,Overseas,4,4.926
David Miller,Batsman,Kings XI Punjab,2018,Overseas,3,3.6945
Deepak Chahar,All-Rounder,Chennai Super Kings,2018,Indian,0.8,0.9852
Deepak Hooda,All-Rounder,Sunrisers Hyderabad,2018,Indian,3.6,4.4334
Dhawal Kulkarni,Bowler,Rajasthan Royals,2018,Indian,0.75,0.9236
Dhruv Shorey,All-Rounder,Chennai Super Kings,2018,Indian,0.2,0.2463
Dinesh Karthik,Wicket Keeper,Kolkata Knight Riders,2018,Indian,7.4,9.113
Dushmantha Chameera,Bowler,Rajasthan Royals,2018,Overseas,0.5,0.6157
Dwayne Bravo,All-Rounder,Chennai Super Kings,2018,Overseas,6.4,7.8815
Evin Lewis,Batsman,Mumbai Indians,2018,Overseas,3.8,4.6797
Faf Du Plessis,Batsman,Chennai Super Kings,2018,Overseas,1.6,1.9704
Gautam Gambhir,Batsman,Delhi Daredevils,2018,Indian,2.8,3.4482
Glenn Maxwell,All-Rounder,Delhi Daredevils,2018,Overseas,9,11.0834
Gurkeerat Singh Mann,All-Rounder,Delhi Daredevils,2018,Indian,0.75,0.9236
Harbhajan Singh,Bowler,Chennai Super Kings,2018,Indian,2,2.463
Harshal Patel,All-Rounder,Delhi Daredevils,2018,Indian,0.2,0.2463
Imran Tahir,Bowler,Chennai Super Kings,2018,Overseas,1,1.2315
Ishan Kishan,Wicket Keeper,Mumbai Indians,2018,Indian,6.2,7.6352
Ishank Jaggi,Batsman,Kolkata Knight Riders,2018,Indian,0.2,0.2463
Jason Behrendorff,Bowler,Mumbai Indians,2018,Overseas,1.5,1.8472
Jason Roy,Batsman,Delhi Daredevils,2018,Overseas,1.5,1.8472
Jatin Saxena,All-Rounder,Rajasthan Royals,2018,Indian,0.2,0.2463
Javon Searless,All-Rounder,Kolkata Knight Riders,2018,Indian,0.3,0.3694
Jayant Yadav,All-Rounder,Delhi Daredevils,2018,Indian,0.5,0.6157
Jaydev Unadkat,Bowler,Rajasthan Royals,2018,Indian,11.5,14.1621
Jean-Paul Duminy,All-Rounder,Mumbai Indians,2018,Overseas,1,1.2315
Jofra Archer,All-Rounder,Rajasthan Royals,2018,Overseas,7.2,8.8667
Jos Buttler,Wicket Keeper,Rajasthan Royals,2018,Overseas,4.4,5.4185
Kagiso Rabada,Bowler,Delhi Daredevils,2018,Overseas,4.2,5.1723
Kamlesh Nagarkoti,All-Rounder,Kolkata Knight Riders,2018,Indian,3.2,3.9408
Kane Williamson,Batsman,Sunrisers Hyderabad,2018,Overseas,3,3.6945
Kanishk Seth,All-Rounder,Chennai Super Kings,2018,Indian,0.2,0.2463
Karn Sharma,Bowler,Chennai Super Kings,2018,Indian,5,6.1574
Karun Nair,Batsman,Kings XI Punjab,2018,Indian,5.6,6.8963
Kedar Jadhav,All-Rounder,Chennai Super Kings,2018,Indian,7.8,9.6056
Kieron Pollard,All-Rounder,Mumbai Indians,2018,Overseas,5.4,6.65
KL Rahul,Batsman,Kings XI Punjab,2018,Indian,11,13.5464
Krishnappa Gowtham,Bowler,Rajasthan Royals,2018,Indian,6.2,7.6352
Krunal Pandya,All-Rounder,Mumbai Indians,2018,Indian,8.8,10.8371
Kshitiz Sharma,All-Rounder,Chennai Super Kings,2018,Indian,0.2,0.2463
Kuldeep Yadav,Bowler,Kolkata Knight Riders,2018,Indian,5.8,7.1426
Kulwant Khejroliya,Bowler,Royal Challengers Bangalore,2018,Indian,0.85,1.0468
Lungisani Ngidi,Bowler,Chennai Super Kings,2018,Overseas,0.5,0.6157
M. Ashwin,Bowler,Royal Challengers Bangalore,2018,Indian,2.2,2.7093
Washington Sundar,All-Rounder,Royal Challengers Bangalore,2018,Indian,3.2,3.9408
Mahipal Lomror,All-Rounder,Rajasthan Royals,2018,Indian,0.2,0.2463
Manan Vohra,Batsman,Royal Challengers Bangalore,2018,Indian,1.1,1.3546
Mandeep Singh,All-Rounder,Royal Challengers Bangalore,2018,Indian,1.4,1.7241
Manish Pandey,Batsman,Sunrisers Hyderabad,2018,Indian,11,13.5464
Manjot Kalra,Batsman,Delhi Daredevils,2018,Indian,0.2,0.2463
Manoj Tiwary,Batsman,Kings XI Punjab,2018,Indian,1,1.2315
Manzoor Dar,All-Rounder,Kings XI Punjab,2018,Indian,0.2,0.2463
Marcus Stoinis,All-Rounder,Kings XI Punjab,2018,Overseas,6.2,7.6352
Mark Wood,Bowler,Chennai Super Kings,2018,Overseas,1.5,1.8472
Mayank Agarwal,Batsman,Kings XI Punjab,2018,Indian,1,1.2315
Mayank Dagar,All-Rounder,Kings XI Punjab,2018,Indian,0.2,0.2463
Mayank Markande,Bowler,Mumbai Indians,2018,Indian,0.2,0.2463
Midhun S,All-Rounder,Rajasthan Royals,2018,Indian,0.2,0.2463
Mitchell Johnson,Bowler,Kolkata Knight Riders,2018,Overseas,2,2.463
Mitchell Santner,All-Rounder,Chennai Super Kings,2018,Overseas,0.5,0.6157
Mitchell Starc,Bowler,Kolkata Knight Riders,2018,Overseas,9.4,11.576
Moeen Ali,All-Rounder,Royal Challengers Bangalore,2018,Overseas,1.7,2.0935
Mohammad Nabi,All-Rounder,Sunrisers Hyderabad,2018,Overseas,1,1.2315
Mohammad Shami,Bowler,Delhi Daredevils,2018,Indian,3,3.6945
Mohammed Siraj,Bowler,Royal Challengers Bangalore,2018,Indian,2.6,3.2019
Mohit Sharma,Bowler,Kings XI Punjab,2018,Indian,2.4,2.9556
Mohsin Khan,Bowler,Mumbai Indians,2018,Indian,0.2,0.2463
Monu Singh,Bowler,Chennai Super Kings,2018,Indian,0.2,0.2463
Mujeeb Zadran,Bowler,Kings XI Punjab,2018,Overseas,4,4.926
Murali Vijay,Batsman,Chennai Super Kings,2018,Indian,2,2.463
Mustafizur Rahman,Bowler,Mumbai Indians,2018,Overseas,2.2,2.7093
N Jagadeesan,Wicket Keeper,Chennai Super Kings,2018,Indian,0.2,0.2463
Naman Ojha,Wicket Keeper,Delhi Daredevils,2018,Indian,1.4,1.7241
Nathan Coulter-Nile,Bowler,Royal Challengers Bangalore,2018,Overseas,2.2,2.7093
Navdeep Saini,Bowler,Royal Challengers Bangalore,2018,Indian,3,3.6945
Nidheesh M D Dinesan,Bowler,Mumbai Indians,2018,Indian,0.2,0.2463
Nitish Rana,All-Rounder,Kolkata Knight Riders,2018,Indian,3.4,4.1871
Pardeep Sahu,Bowler,Kings XI Punjab,2018,Indian,0.2,0.2463
Parthiv Patel,Wicket Keeper,Royal Challengers Bangalore,2018,Indian,1.7,2.0935
Pat Cummins,Bowler,Mumbai Indians,2018,Overseas,5.4,6.65
Pavan Deshpande,All-Rounder,Royal Challengers Bangalore,2018,Indian,0.2,0.2463
Pawan Negi,All-Rounder,Royal Challengers Bangalore,2018,Indian,1,1.2315
Piyush Chawla,Bowler,Kolkata Knight Riders,2018,Indian,4.2,5.1723
Pradeep Sangwan,Bowler,Mumbai Indians,2018,Indian,1.5,1.8472
Prashant Chopra,Wicket Keeper,Rajasthan Royals,2018,Indian,0.2,0.2463
Prithvi Shaw,Batsman,Delhi Daredevils,2018,Indian,1.2,1.4778
Quinton De Kock,Wicket Keeper,Royal Challengers Bangalore,2018,Overseas,2.8,3.4482
Rahul Chahar,Bowler,Mumbai Indians,2018,Indian,1.9,2.3398
Rahul Tewatia,All-Rounder,Delhi Daredevils,2018,Indian,3,3.6945
Rahul Tripathi,Batsman,Rajasthan Royals,2018,Indian,3.4,4.1871
Ranganath Vinay Kumar,Bowler,Kolkata Knight Riders,2018,Indian,1,1.2315
Rashid Khan Arman,Bowler,Sunrisers Hyderabad,2018,Overseas,9,11.0834
Ravichandran Ashwin,All-Rounder,Kings XI Punjab,2018,Overseas,7.6,9.3593
Ricky Bhui,Batsman,Sunrisers Hyderabad,2018,Overseas,0.2,0.2463
Rinku Singh,Batsman,Kolkata Knight Riders,2018,Indian,0.8,0.9852
Robin Uthappa,Batsman,Kolkata Knight Riders,2018,Indian,6.4,7.8815
Sachin Baby,Batsman,Sunrisers Hyderabad,2018,Indian,0.2,0.2463
Sam Billings,Wicket Keeper,Chennai Super Kings,2018,Overseas,1,1.2315
Sandeep Lamichhane,Bowler,Delhi Daredevils,2018,Overseas,0.2,0.2463
Sandeep Sharma,Bowler,Sunrisers Hyderabad,2018,Indian,3,3.6945
Sanju Samson,Wicket Keeper,Rajasthan Royals,2018,Indian,8,9.8519
Saurabh Tiwary,Batsman,Mumbai Indians,2018,Indian,0.8,0.9852
Sayan Ghosh,Bowler,Delhi Daredevils,2018,Indian,0.2,0.2463
Shahbaz Nadeem,Bowler,Delhi Daredevils,2018,Indian,3.2,3.9408
Shakib Al Hasan,All-Rounder,Sunrisers Hyderabad,2018,Overseas,2,2.463
Shane Watson,All-Rounder,Chennai Super Kings,2018,Overseas,4,4.926
Sharad Lumba,Batsman,Mumbai Indians,2018,Indian,0.2,0.2463
Shardul Thakur,Bowler,Chennai Super Kings,2018,Indian,2.6,3.2019
Shikhar Dhawan,Batsman,Sunrisers Hyderabad,2018,Indian,5.2,6.4037
Shivam Mavi,All-Rounder,Kolkata Knight Riders,2018,Indian,3,3.6945
Shreevats Goswami,Wicket Keeper,Sunrisers Hyderabad,2018,Indian,1,1.2315
Shreyas Gopal,All-Rounder,Rajasthan Royals,2018,Indian,0.2,0.2463
Shubman Gill,Batsman,Kolkata Knight Riders,2018,Indian,1.8,2.2167
Siddarth Kaul,Bowler,Sunrisers Hyderabad,2018,Indian,3.8,4.6797
Siddhesh Dinesh Lad,Batsman,Mumbai Indians,2018,Indian,0.2,0.2463
Stuart Binny,All-Rounder,Rajasthan Royals,2018,Indian,0.5,0.6157
Suryakumar Yadav,Batsman,Mumbai Indians,2018,Indian,3.2,3.9408
Syed Khaleel Ahmed,Bowler,Sunrisers Hyderabad,2018,Indian,3,3.6945
Syed Mehdi Hasan,All-Rounder,Sunrisers Hyderabad,2018,Indian,0.2,0.2463
T Natarajan,Bowler,Sunrisers Hyderabad,2018,Indian,0.4,0.4926
Tajinder Dhillon,All-Rounder,Mumbai Indians,2018,Indian,0.55,0.6773
Tanmay Agarwal,Batsman,Sunrisers Hyderabad,2018,Indian,0.2,0.2463
Tim Southee,Bowler,Royal Challengers Bangalore,2018,Overseas,1,1.2315
Trent Boult,Bowler,Delhi Daredevils,2018,Overseas,2.2,2.7093
Umesh Yadav,Bowler,Royal Challengers Bangalore,2018,Indian,4.2,5.1723
Vijay Shankar,All-Rounder,Delhi Daredevils,2018,Indian,3.2,3.9408
Wriddhiman Saha,Wicket Keeper,Sunrisers Hyderabad,2018,Indian,5,6.1574
Yusuf Pathan,All-Rounder,Sunrisers Hyderabad,2018,Indian,1.9,2.3398
Yuvraj Singh,All-Rounder,Kings XI Punjab,2018,Indian,2,2.463
Yuzvendra Singh Chahal,Bowler,Royal Challengers Bangalore,2018,Indian,6,7.3889
Zahir Khan Pakteen,Bowler,Rajasthan Royals,2018,Indian,0.6,0.7389
Agnivesh Ayachi,All-Rounder,Kings XI Punjab,2019,Indian,0.2,0.2351
Akshdeep Nath,All-Rounder,Royal Challengers Bangalore,2019,Indian,3.6,4.2319
Ankush Bains,Wicket Keeper,Delhi Capitals,2019,Indian,0.2,0.2351
Anmolpreet Singh,Batsman,Mumbai Indians,2019,Indian,0.8,0.9404
Anrich Nortje,Bowler,Kolkata Knight Riders,2019,Overseas,0.2,0.2351
Arshdeep Singh,Bowler,Kings XI Punjab,2019,Indian,0.2,0.2351
Ashton Turner,All-Rounder,Rajasthan Royals,2019,Indian,0.5,0.5878
Axar Rajesh Patel,All-Rounder,Delhi Capitals,2019,Indian,5,5.8777
Bandaru Ayyappa,Bowler,Delhi Capitals,2019,Indian,0.2,0.2351
Barinder Singh Sran,Bowler,Mumbai Indians,2019,Indian,3.4,3.9968
Carlos Brathwaite,All-Rounder,Kolkata Knight Riders,2019,Overseas,5,5.8777
Colin Ingram,Batsman,Delhi Capitals,2019,Overseas,6.4,7.5234
Darshan Nalkande,All-Rounder,Kings XI Punjab,2019,Indian,0.3,0.3527
Devdutt Padikkal,Batsman,Royal Challengers Bangalore,2019,Indian,0.2,0.2351
Gurkeerat Singh Mann,All-Rounder,Royal Challengers Bangalore,2019,Indian,0.5,0.5878
Hanuma Vihari,Batsman,Delhi Capitals,2019,Indian,2,2.3511
Hardus Viljoen,Bowler,Kings XI Punjab,2019,Overseas,0.75,0.8816
Harpreet Brar,All-Rounder,Kings XI Punjab,2019,Indian,0.2,0.2351
Harry Gurney,Bowler,Kolkata Knight Riders,2019,Overseas,0.75,0.8816
Heinrich Klaasen,Wicket Keeper,Royal Challengers Bangalore,2019,Overseas,0.5,0.5878
Himmat Singh,Batsman,Royal Challengers Bangalore,2019,Indian,0.65,0.7641
Ishant Sharma,Bowler,Delhi Capitals,2019,Indian,1.1,1.2931
Jalaj Saxena,All-Rounder,Delhi Capitals,2019,Indian,0.2,0.2351
Jaydev Unadkat,Bowler,Rajasthan Royals,2019,Indian,8.4,9.8745
Joe Denly,Batsman,Kolkata Knight Riders,2019,Overseas,1,1.1755
Jonny Bairstow,Wicket Keeper,Sunrisers Hyderabad,2019,Overseas,2.2,2.5862
Keemo Paul,All-Rounder,Delhi Capitals,2019,Overseas,0.5,0.5878
Lasith Malinga,Bowler,Mumbai Indians,2019,Overseas,2,2.3511
Liam Livingstone,All-Rounder,Rajasthan Royals,2019,Overseas,0.5,0.5878
Lockie Ferguson,Bowler,Kolkata Knight Riders,2019,Overseas,1.6,1.8809
M. Ashwin,Bowler,Kings XI Punjab,2019,Indian,0.2,0.2351
Manan Vohra,Batsman,Rajasthan Royals,2019,Indian,0.2,0.2351
Martin Guptill,Batsman,Sunrisers Hyderabad,2019,Overseas,1,1.1755
Milind Kumar,All-Rounder,Royal Challengers Bangalore,2019,Indian,0.2,0.2351
Mohammad Shami,Bowler,Kings XI Punjab,2019,Indian,4.8,5.6426
Mohit Sharma,Bowler,Chennai Super Kings,2019,Indian,5,5.8777
Moises Henriques,All-Rounder,Kings XI Punjab,2019,Overseas,1,1.1755
Nathu Singh,Bowler,Delhi Capitals,2019,Indian,0.2,0.2351
Nicolas Pooran,Wicket Keeper,Kings XI Punjab,2019,Overseas,4.2,4.9372
Nikhil Shankar Naik,Wicket Keeper,Kolkata Knight Riders,2019,Indian,0.2,0.2351
Oshane Thomas,Bowler,Rajasthan Royals,2019,Overseas,1.1,1.2931
Pankaj Jaswal,All-Rounder,Mumbai Indians,2019,Overseas,0.2,0.2351
Prabhsimran Singh,Wicket Keeper,Kings XI Punjab,2019,Indian,4.8,5.6426
Prayas Ray Barman,All-Rounder,Royal Challengers Bangalore,2019,Indian,1.5,1.7633
Prithvi Raj Yarra,Bowler,Kolkata Knight Riders,2019,Indian,0.2,0.2351
Rasikh Dar,Bowler,Mumbai Indians,2019,Indian,0.2,0.2351
Riyan Parag,All-Rounder,Rajasthan Royals,2019,Indian,0.2,0.2351
Ruturaj Gaikwad,Batsman,Chennai Super Kings,2019,Indian,0.2,0.2351
Sam Curran,All-Rounder,Kings XI Punjab,2019,Overseas,7.2,8.4638
Sarfaraz Naushad Khan,All-Rounder,Kings XI Punjab,2019,Indian,0.25,0.2939
Shashank Singh,All-Rounder,Rajasthan Royals,2019,Indian,0.3,0.3527
Sherfane Rutherford,All-Rounder,Delhi Capitals,2019,Overseas,2,2.3511
Shimron Hetmyer,Batsman,Royal Challengers Bangalore,2019,Overseas,4.2,4.9372
Shivam Dube,All-Rounder,Royal Challengers Bangalore,2019,Indian,5,5.8777
Shrikant Mundhe,All-Rounder,Kolkata Knight Riders,2019,Indian,0.2,0.2351
Shubham Ranjane,All-Rounder,Rajasthan Royals,2019,Indian,0.2,0.2351
Varun Aaron,Bowler,Rajasthan Royals,2019,Indian,2.4,2.8213
Varun Chakaravarthy,All-Rounder,Kings XI Punjab,2019,Indian,8.4,9.8745
Wriddhiman Saha,Wicket Keeper,Sunrisers Hyderabad,2019,Indian,1.2,1.4106
Yuvraj Singh,All-Rounder,Mumbai Indians,2019,Indian,1,1.1755
Aaron Finch,Batsman,Royal Challengers Bangalore,2020,Overseas,4.4,4.8713
Abdul Samad,All-Rounder,Sunrisers Hyderabad,2020,Indian,0.2,0.2214
Akash Singh,Bowler,Rajasthan Royals,2020,Indian,0.2,0.2214
Alex Carey,Wicket Keeper,Delhi Capitals,2020,Overseas,2.4,2.6571
Andrew Tye,Bowler,Rajasthan Royals,2020,Overseas,1,1.1071
Anirudha Ashok Joshi,All-Rounder,Rajasthan Royals,2020,Indian,0.2,0.2214
Anuj Rawat,Wicket Keeper,Rajasthan Royals,2020,Indian,0.8,0.8857
Chris Green,All-Rounder,Kolkata Knight Riders,2020,Overseas,0.2,0.2214
